G,G,G,G,G,G
42130703,42130706,42130716,42130755,42130756,42130759
42130704,42130724,42130730,42130738,42130737,42130748
42130705,42130713,42130716,42130721,42130749,42130756
42130703,42130710,42130711,42130756,42130770,42130772
42130703,42130705,42130725,42130743,42130749,42130759
42130703,42130706,42130727,42130734,42130756,42130770
42130703,42130714,42130718,42130725,42130749,42130772
42130705,42130716,42130721,42130725,42130727,42130751
42130704,42130722,42130724,42130728,42130750,42130766
42130710,42130711,42130713,42130721,42130749,42130759
42130705,42130706,42130711,42130756,42130762,42130770
42130704,42130707,42130720,42130738,42130773,42130775
42130705,42130706,42130710,42130754,42130755,42130759
42130705,42130714,42130718,42130725,42130759,42130770
42130702,42130709,42130720,42130724,42130750,42130784
42130703,42130713,42130721,42130725,42130743,42130749
42130703,42130705,42130713,42130756,42130762,42130779
42130702,42130722,42130724,42130726,42130738,42130737
42130713,42130716,42130718,42130725,42130751,42130759
42130702,42130707,42130738,42130742,42130750,42130774
42130706,42130710,42130714,42130721,42130753,42130756
42130707,42130709,42130720,42130722,42130728,42130784
42130703,42130705,42130718,42130749,42130755,42130770
42130705,42130706,42130727,42130741,42130756,42130772
42130702,42130704,42130722,42130737,42130765,42130783
42130704,42130707,42130748,42130750,42130766,42130773
42130706,42130713,42130714,42130716,42130770,42130779
42130703,42130713,42130714,42130727,42130755,42130772
42130703,42130706,42130721,42130751,42130749,42130754
42130712,42130716,42130718,42130721,42130727,42130759
42130704,42130707,42130728,42130738,42130737,42130766
42130705,42130706,42130713,42130749,42130759,42130772
42130710,42130716,42130718,42130734,42130749,42130756
42130702,42130715,42130724,42130738,42130748,42130775
42130702,42130707,42130724,42130737,42130742,42130777
42130706,42130713,42130714,42130725,42130756,42130762
42130703,42130716,42130718,42130751,42130762,42130772
42130702,42130704,42130728,42130739,42130774,42130784
42130703,42130710,42130721,42130725,42130756,42130759
42130702,42130709,42130728,42130738,42130750,42130771
42130703,42130716,42130721,42130734,42130755,42130770
42130704,42130715,42130720,42130724,42130766,42130774
42130702,42130720,42130722,42130726,42130730,42130748
42130705,42130713,42130716,42130727,42130751,42130756
42130704,42130709,42130722,42130730,42130765,42130774
42130703,42130710,42130712,42130749,42130770,42130772
42130703,42130712,42130716,42130727,42130759,42130762
42130705,42130710,42130725,42130751,42130749,42130755
42130707,42130709,42130722,42130731,42130748,42130765
42130702,42130715,42130720,42130726,42130750,42130784
42130713,42130714,42130716,42130718,42130753,42130756
42130705,42130711,42130713,42130721,42130755,42130772
42130703,42130705,42130743,42130759,42130770,42130779
42130704,42130720,42130724,42130738,42130737,42130777
42130706,42130711,42130721,42130725,42130754,42130762
42130704,42130709,42130724,42130738,42130775,42130783
42130705,42130706,42130711,42130751,42130756,42130759
42130704,42130707,42130739,42130740,42130738,42130788
42130705,42130714,42130716,42130727,42130754,42130770
42130703,42130706,42130718,42130721,42130759,42130795
42130703,42130710,42130725,42130755,42130762,42130779
42130702,42130709,42130740,42130748,42130773,42130775
42130707,42130715,42130730,42130731,42130737,42130750
42130702,42130715,42130724,42130730,42130738,42130784
42130703,42130714,42130725,42130751,42130759,42130770
42130703,42130706,42130743,42130754,42130756,42130762
42130704,42130709,42130730,42130738,42130742,42130748
42130705,42130706,42130718,42130727,42130755,42130753
42130711,42130713,42130718,42130727,42130749,42130772
42130710,42130714,42130721,42130727,42130743,42130756
42130705,42130712,42130713,42130743,42130756,42130772
42130702,42130720,42130728,42130730,42130742,42130773
42130712,42130713,42130718,42130734,42130751,42130749
42130703,42130714,42130718,42130721,42130762,42130772
42130702,42130704,42130724,42130765,42130773,42130774
42130707,42130715,42130720,42130722,42130726,42130771
42130707,42130709,42130726,42130738,42130737,42130750
42130710,42130714,42130716,42130725,42130751,42130762
42130702,42130722,42130730,42130731,42130740,42130784
42130703,42130710,42130718,42130741,42130749,42130753
42130703,42130706,42130727,42130751,42130755,42130762
42130710,42130713,42130718,42130725,42130743,42130762
42130703,42130711,42130725,42130754,42130756,42130759
42130702,42130707,42130742,42130750,42130766,42130765
42130702,42130704,42130739,42130738,42130777,42130784
42130704,42130722,42130724,42130728,42130738,42130776
42130706,42130713,42130721,42130725,42130727,42130743
42130710,42130712,42130713,42130727,42130741,42130756
42130706,42130712,42130721,42130749,42130755,42130756
42130709,42130715,42130724,42130738,42130737,42130748
42130705,42130714,42130725,42130741,42130749,42130753
42130704,42130709,42130720,42130728,42130748,42130775
42130703,42130716,42130718,42130727,42130751,42130770
42130705,42130710,42130718,42130754,42130756,42130762
42130702,42130704,42130722,42130750,42130776,42130775
42130703,42130705,42130734,42130743,42130753,42130756
42130711,42130713,42130716,42130734,42130741,42130751
42130702,42130709,42130724,42130737,42130771,42130784
42130703,42130705,42130725,42130749,42130755,42130772
42130704,42130715,42130726,42130728,42130738,42130742
42130704,42130707,42130724,42130738,42130750,42130771
42130702,42130707,42130709,42130773,42130777,42130783
42130702,42130724,42130739,42130740,42130742,42130766
42130703,42130713,42130721,42130743,42130754,42130759
42130702,42130715,42130720,42130742,42130774,42130794
42130705,42130713,42130721,42130725,42130759,42130762
42130707,42130715,42130722,42130724,42130728,42130765
42130705,42130710,42130711,42130755,42130759,42130770
42130702,42130722,42130740,42130738,42130748,42130750
42130703,42130710,42130711,42130743,42130754,42130779
42130704,42130707,42130739,42130740,42130737,42130777
42130705,42130711,42130716,42130721,42130756,42130762
42130714,42130716,42130718,42130721,42130751,42130749
42130703,42130706,42130716,42130751,42130754,42130772
42130704,42130720,42130722,42130739,42130742,42130771
42130704,42130707,42130709,42130766,42130784,42130794
42130702,42130720,42130724,42130738,42130766,42130774
42130706,42130710,42130712,42130755,42130762,42130779
42130703,42130705,42130751,42130762,42130770,42130772
42130704,42130707,42130720,42130730,42130773,42130774
42130707,42130709,42130715,42130722,42130771,42130775
42130702,42130715,42130739,42130738,42130737,42130750
42130703,42130712,42130721,42130751,42130759,42130779
42130702,42130707,42130722,42130724,42130777,42130784
42130705,42130714,42130725,42130727,42130743,42130756
42130703,42130711,42130714,42130741,42130753,42130759
42130703,42130711,42130727,42130734,42130754,42130756
42130707,42130724,42130726,42130730,42130739,42130740
42130703,42130706,42130727,42130749,42130759,42130770
42130705,42130710,42130721,42130727,42130751,42130754
42130702,42130709,42130720,42130726,42130771,42130775
42130704,42130709,42130720,42130724,42130750,42130792
42130707,42130715,42130722,42130738,42130748,42130766
42130703,42130711,42130713,42130743,42130756,42130762
42130713,42130714,42130721,42130725,42130727,42130759
42130702,42130715,42130730,42130740,42130750,42130783
42130706,42130712,42130718,42130725,42130749,42130807
42130710,42130711,42130714,42130716,42130772,42130807
42130704,42130707,42130731,42130750,42130773,42130784
42130702,42130709,42130726,42130731,42130748,42130794
42130704,42130720,42130724,42130731,42130737,42130789
42130702,42130704,42130720,42130748,42130765,42130788
42130702,42130709,42130724,42130737,42130776,42130775
42130704,42130715,42130724,42130731,42130750,42130765
42130703,42130706,42130725,42130743,42130756,42130759
42130715,42130720,42130722,42130724,42130726,42130739
42130706,42130714,42130716,42130721,42130749,42130770
42130710,42130712,42130714,42130751,42130755,42130756
42130703,42130705,42130721,42130749,42130754,42130753
42130703,42130713,42130716,42130755,42130762,42130772
