G,G,G,G,G,G
Rory McIlroy (42046022),Jake Knapp (42046035),Robert MacIntyre (42046039),Pierceson Coody (42046054),Taylor Pendrith (42046057),Alex Noren (42046060)
Scottie Scheffler (42046021),Keegan Bradley (42046047),J.J. Spaun (42046051),Ryan Gerard (42046056),Denny McCarthy (42046071),Max McGreevy (42046075)
Xander Schauffele (42046024),Patrick Cantlay (42046028),Ben Griffin (42046034),Justin Rose (42046041),Ryan Gerard (42046056),Brian Harman (42046074)
Collin Morikawa (42046027),Cameron Young (42046030),Ludvig Aberg (42046038),Robert MacIntyre (42046039),Harris English (42046042),J.T. Poston (42046059)
Rory McIlroy (42046022),Chris Gotterup (42046033),Sepp Straka (42046044),Keegan Bradley (42046047),Nick Taylor (42046052),Alex Noren (42046060)
Scottie Scheffler (42046021),Shane Lowry (42046045),Akshay Bhatia (42046050),Harry Hall (42046053),Ryan Fox (42046076),Aaron Rai (42046077)
Scottie Scheffler (42046021),Robert MacIntyre (42046039),J.T. Poston (42046059),Alex Noren (42046060),Jacob Bridgeman (42046066),Max McGreevy (42046075)
Scottie Scheffler (42046021),Akshay Bhatia (42046050),Kurt Kitayama (42046055),Ryan Gerard (42046056),Sahith Theegala (42046063),Jacob Bridgeman (42046066)
Scottie Scheffler (42046021),Sepp Straka (42046044),Pierceson Coody (42046054),Kurt Kitayama (42046055),J.T. Poston (42046059),Tom Kim (42046087)
Scottie Scheffler (42046021),Justin Rose (42046041),Pierceson Coody (42046054),Kurt Kitayama (42046055),Marco Penge (42046086),Bud Cauley (42046084)
Xander Schauffele (42046024),Hideki Matsuyama (42046026),Justin Rose (42046041),Sepp Straka (42046044),Min Woo Lee (42046048),Sahith Theegala (42046063)
Hideki Matsuyama (42046026),Collin Morikawa (42046027),Sam Burns (42046032),Justin Rose (42046041),Alex Noren (42046060),Max Greyserman (42046070)
Scottie Scheffler (42046021),Keegan Bradley (42046047),Jordan Spieth (42046049),Nick Taylor (42046052),Rico Hoey (42046072),Marco Penge (42046086)
Hideki Matsuyama (42046026),Si Woo Kim (42046029),Maverick McNealy (42046040),Adam Scott (42046043),Keegan Bradley (42046047),Nick Taylor (42046052)
Scottie Scheffler (42046021),Nick Taylor (42046052),Kurt Kitayama (42046055),Ryan Gerard (42046056),Taylor Pendrith (42046057),Garrick Higgo (42046080)
Scottie Scheffler (42046021),Harris English (42046042),Pierceson Coody (42046054),J.T. Poston (42046059),Rico Hoey (42046072),Aaron Rai (42046077)
Scottie Scheffler (42046021),Harris English (42046042),Min Woo Lee (42046048),J.T. Poston (42046059),Sam Stevens (42046069),Garrick Higgo (42046080)
Tommy Fleetwood (42046023),Si Woo Kim (42046029),Justin Rose (42046041),Keegan Bradley (42046047),J.J. Spaun (42046051),Jacob Bridgeman (42046066)
Scottie Scheffler (42046021),Adam Scott (42046043),Min Woo Lee (42046048),Alex Noren (42046060),Max Greyserman (42046070),Garrick Higgo (42046080)
Hideki Matsuyama (42046026),Ben Griffin (42046034),Robert MacIntyre (42046039),Justin Rose (42046041),Keegan Bradley (42046047),Nick Taylor (42046052)
Xander Schauffele (42046024),Si Woo Kim (42046029),Robert MacIntyre (42046039),Justin Rose (42046041),Harris English (42046042),Denny McCarthy (42046071)
Scottie Scheffler (42046021),Robert MacIntyre (42046039),Ryan Gerard (42046056),J.T. Poston (42046059),Garrick Higgo (42046080),Andrew Novak (42046083)
Scottie Scheffler (42046021),Harris English (42046042),Shane Lowry (42046045),J.J. Spaun (42046051),Andrew Novak (42046083),Sami Valimaki (42046085)
Scottie Scheffler (42046021),Harris English (42046042),Shane Lowry (42046045),Jacob Bridgeman (42046066),Rico Hoey (42046072),Nicolas Echavarria (42046082)
Rory McIlroy (42046022),Collin Morikawa (42046027),Maverick McNealy (42046040),Pierceson Coody (42046054),Ryan Gerard (42046056),Sam Stevens (42046069)
Scottie Scheffler (42046021),Adam Scott (42046043),Ryan Gerard (42046056),J.T. Poston (42046059),Jacob Bridgeman (42046066),Sam Stevens (42046069)
Hideki Matsuyama (42046026),Patrick Cantlay (42046028),Maverick McNealy (42046040),Justin Rose (42046041),Pierceson Coody (42046054),Ryan Gerard (42046056)
Scottie Scheffler (42046021),Justin Rose (42046041),Jordan Spieth (42046049),Alex Noren (42046060),Sam Stevens (42046069),Garrick Higgo (42046080)
Sam Burns (42046032),Chris Gotterup (42046033),Ben Griffin (42046034),Robert MacIntyre (42046039),Harris English (42046042),Nick Taylor (42046052)
Scottie Scheffler (42046021),Chris Gotterup (42046033),Ryan Gerard (42046056),Sam Stevens (42046069),Matthew McCarty (42046073),Michael Kim (42046079)
Rory McIlroy (42046022),Ben Griffin (42046034),Harris English (42046042),Keegan Bradley (42046047),Kurt Kitayama (42046055),J.T. Poston (42046059)
Rory McIlroy (42046022),Robert MacIntyre (42046039),Justin Rose (42046041),Jason Day (42046046),Min Woo Lee (42046048),Ryo Hisatsune (42046067)
Hideki Matsuyama (42046026),Collin Morikawa (42046027),Chris Gotterup (42046033),Keegan Bradley (42046047),Min Woo Lee (42046048),Alex Noren (42046060)
Hideki Matsuyama (42046026),Sam Burns (42046032),Matt Fitzpatrick (42046037),Ludvig Aberg (42046038),Keegan Bradley (42046047),Taylor Pendrith (42046057)
