G,G,G,G,G,G
Collin Morikawa (22085),Jon Rahm (19195),Robert MacIntyre (23323),Corey Conners (17576),Taylor Pendrith (17780),Lucas Glover (7399)
Rory McIlroy (10091),Collin Morikawa (22085),Corey Conners (17576),Davis Thompson (27364),Denny McCarthy (19870),Taylor Pendrith (17780)
Collin Morikawa (22085),Jon Rahm (19195),Patrick Cantlay (15466),Sergio Garcia (5689),Davis Thompson (27364),Laurie Canter (14795)
Scottie Scheffler (18417),Russell Henley (14578),Corey Conners (17576),Sepp Straka (17511),J.J. Spaun (17536),Denny McCarthy (19870)
Scottie Scheffler (18417),Jon Rahm (19195),Sergio Garcia (5689),Tom Kim (24766),Taylor Pendrith (17780),J.T. Poston (21554)
Collin Morikawa (22085),Bryson DeChambeau (19841),Patrick Cantlay (15466),Sergio Garcia (5689),Daniel Berger (17606),Aaron Rai (18554)
Rory McIlroy (10091),Bryson DeChambeau (19841),Patrick Cantlay (15466),Sergio Garcia (5689),J.J. Spaun (17536),Kevin Yu (17881)
Scottie Scheffler (18417),Joaquin Niemann (18079),Corey Conners (17576),Sergio Garcia (5689),Daniel Berger (17606),Stephan Jaeger (16394)
Scottie Scheffler (18417),Jon Rahm (19195),Sergio Garcia (5689),Davis Thompson (27364),Denny McCarthy (19870),Joe Highsmith (28469)
Scottie Scheffler (18417),Jon Rahm (19195),Sergio Garcia (5689),J.J. Spaun (17536),Michael Kim (17543),Brian Harman (8825)
Jon Rahm (19195),Bryson DeChambeau (19841),Robert MacIntyre (23323),Sungjae Im (17488),Sergio Garcia (5689),Keegan Bradley (13872)
Scottie Scheffler (18417),Patrick Cantlay (15466),Russell Henley (14578),Sergio Garcia (5689),Michael Kim (17543),Lucas Glover (7399)
Rory McIlroy (10091),Bryson DeChambeau (19841),Corey Conners (17576),Sergio Garcia (5689),Davis Thompson (27364),Tom Kim (24766)
Collin Morikawa (22085),Joaquin Niemann (18079),Patrick Cantlay (15466),Akshay Bhatia (26096),Aaron Rai (18554),Taylor Pendrith (17780)
Rory McIlroy (10091),Bryson DeChambeau (19841),Patrick Cantlay (15466),Daniel Berger (17606),Michael Kim (17543),Brian Harman (8825)
Scottie Scheffler (18417),Collin Morikawa (22085),Daniel Berger (17606),Aaron Rai (18554),Maverick McNealy (18634),Nick Taylor (13126)
Scottie Scheffler (18417),Rory McIlroy (10091),Tom Kim (24766),Michael Kim (17543),Taylor Pendrith (17780),Joe Highsmith (28469)
Collin Morikawa (22085),Patrick Cantlay (15466),Tyrrell Hatton (14796),Corey Conners (17576),Sergio Garcia (5689),Harris English (14577)
Rory McIlroy (10091),Bryson DeChambeau (19841),Patrick Cantlay (15466),Davis Thompson (27364),Taylor Pendrith (17780),Nick Taylor (13126)
Scottie Scheffler (18417),Collin Morikawa (22085),Sergio Garcia (5689),Aaron Rai (18554),Lucas Glover (7399),Max Greyserman (23465)
Rory McIlroy (10091),Russell Henley (14578),Robert MacIntyre (23323),Jason Day (9771),Sergio Garcia (5689),J.J. Spaun (17536)
Scottie Scheffler (18417),Tommy Fleetwood (12294),Russell Henley (14578),Sergio Garcia (5689),Stephan Jaeger (16394),Joe Highsmith (28469)
Scottie Scheffler (18417),Hideki Matsuyama (13562),Sepp Straka (17511),Daniel Berger (17606),Davis Thompson (27364),Taylor Pendrith (17780)
Rory McIlroy (10091),Jon Rahm (19195),Wyndham Clark (23604),Davis Thompson (27364),Denny McCarthy (19870),Lucas Glover (7399)
Rory McIlroy (10091),Justin Thomas (14139),Akshay Bhatia (26096),Sungjae Im (17488),Sergio Garcia (5689),Lucas Glover (7399)
Collin Morikawa (22085),Tommy Fleetwood (12294),Corey Conners (17576),Sergio Garcia (5689),Aaron Rai (18554),Michael Kim (17543)
Jon Rahm (19195),Joaquin Niemann (18079),Patrick Cantlay (15466),Will Zalatoris (19428),Taylor Pendrith (17780),Lucas Glover (7399)
Scottie Scheffler (18417),Tommy Fleetwood (12294),Sungjae Im (17488),Sergio Garcia (5689),Davis Thompson (27364),Thomas Detry (14181)
Scottie Scheffler (18417),Patrick Cantlay (15466),Corey Conners (17576),Sergio Garcia (5689),Taylor Pendrith (17780),Adam Schenk (19477)
Rory McIlroy (10091),Patrick Cantlay (15466),Will Zalatoris (19428),Sepp Straka (17511),Tony Finau (11676),J.J. Spaun (17536)
Jon Rahm (19195),Hideki Matsuyama (13562),Shane Lowry (13900),Robert MacIntyre (23323),Keegan Bradley (13872),Brian Harman (8825)
Scottie Scheffler (18417),Akshay Bhatia (26096),Robert MacIntyre (23323),Jason Day (9771),J.J. Spaun (17536),Maverick McNealy (18634)
Rory McIlroy (10091),Jon Rahm (19195),Corey Conners (17576),Sam Burns (19483),Maverick McNealy (18634),Harris English (14577)
Scottie Scheffler (18417),Bryson DeChambeau (19841),Sahith Theegala (23014),Davis Thompson (27364),Denny McCarthy (19870),Kevin Yu (17881)
Jon Rahm (19195),Joaquin Niemann (18079),Tommy Fleetwood (12294),Sungjae Im (17488),Aaron Rai (18554),Harris English (14577)
Rory McIlroy (10091),Bryson DeChambeau (19841),Tyrrell Hatton (14796),Sergio Garcia (5689),Denny McCarthy (19870),Adam Schenk (19477)
Scottie Scheffler (18417),Patrick Cantlay (15466),Russell Henley (14578),Tom Kim (24766),Cameron Davis (17786),Maverick McNealy (18634)
Ludvig Aberg (23950),Xander Schauffele (19895),Russell Henley (14578),Sergio Garcia (5689),Keegan Bradley (13872),Aaron Rai (18554)
Scottie Scheffler (18417),Patrick Cantlay (15466),Will Zalatoris (19428),Adam Scott (6430),Michael Kim (17543),Austin Eckroat (26653)
Collin Morikawa (22085),Joaquin Niemann (18079),Russell Henley (14578),Daniel Berger (17606),Davis Thompson (27364),Max Greyserman (23465)
