G,G,G,G,G,G,Total Projected Points,Total Projected Ownership,Total Salary,Expected Value (%)
Rico Hoey (42085976),Shane Lowry (42085951),Rasmus Neergaard-Petersen (42085958),Kevin Roy (42086000),Alex Smalley (42085966),Kevin Yu (42085988),448.49,70.96,49300,29.77
Joel Dahmen (42086005),Zecheng Dou (42086008),Ryan Gerard (42085952),Aaron Rai (42085961),Michael Thorbjornsen (42085957),Will Zalatoris (42085965),447.99,92.1,50000,-3.31
Nicolai Hojgaard (42085955),Chris Kirk (42085971),Taylor Moore (42086009),Thorbjorn Olesen (42085964),Sami Valimaki (42085977),Daniel Berger (42085960),440.38,72.47,49200,-4.58
Christiaan Bezuidenhout (42085962),Nicolai Hojgaard (42085955),Mackenzie Hughes (42085979),Tom Kim (42085985),Max McGreevy (42085967),Will Zalatoris (42085965),450.16,82.55,49600,29.62
Doug Ghim (42085986),Rico Hoey (42085976),Nicolai Hojgaard (42085955),John Parry (42085980),Davis Thompson (42085963),Michael Thorbjornsen (42085957),452.18,88.58,49700,10.56
Tom Kim (42085985),Chris Kirk (42085971),Shane Lowry (42085951),Thorbjorn Olesen (42085964),Alex Smalley (42085966),Vince Whaley (42085996),448.2,69.95,49100,23.33
Ricky Castillo (42085982),Ryan Gerard (42085952),Shane Lowry (42085951),Kristoffer Reitan (42085974),Kevin Roy (42086000),Vince Whaley (42085996),450.8,84.54,49000,13.91
Ryan Gerard (42085952),Shane Lowry (42085951),Mac Meissner (42085969),Andrew Putnam (42086015),Jordan L. Smith (42085972),Sami Valimaki (42085977),451.79,92.6,49800,-4.8
Emiliano Grillo (42085995),Shane Lowry (42085951),Max McGreevy (42085967),Davis Thompson (42085963),Matt Wallace (42085984),Will Zalatoris (42085965),448.89,78.02,49700,15.54
Michael Brennan (42085992),Mackenzie Hughes (42085979),Shane Lowry (42085951),Max McGreevy (42085967),John Parry (42085980),Michael Thorbjornsen (42085957),456.48,91.1,49500,21.78
Ryan Gerard (42085952),Rasmus Hojgaard (42085954),Seonghyeon Kim (42086004),Chris Kirk (42085971),Michael Thorbjornsen (42085957),Adam Hadwin (42086021),447.5,92.09,50000,-6.27
Michael Brennan (42085992),Ryan Gerard (42085952),Rasmus Neergaard-Petersen (42085958),John Parry (42085980),Michael Thorbjornsen (42085957),Vince Whaley (42085996),453.39,90.58,49800,8.39
Stephan Jaeger (42085981),Shane Lowry (42085951),Mac Meissner (42085969),Keith Mitchell (42085956),Sami Valimaki (42085977),Kris Ventura (42085994),449.99,73.99,49500,26.29
Garrick Higgo (42085987),Rico Hoey (42085976),Nicolai Hojgaard (42085955),Max McGreevy (42085967),Rasmus Neergaard-Petersen (42085958),Dylan Wu (42086012),446.77,72.46,48400,15.68
Ryan Gerard (42085952),Rico Hoey (42085976),Keith Mitchell (42085956),Rasmus Neergaard-Petersen (42085958),Jesper Svensson (42086002),Vince Whaley (42085996),451.69,82.03,49800,28.25
Daniel Brown (42085993),Ryan Gerard (42085952),John Parry (42085980),Alex Smalley (42085966),Kevin Yu (42085988),Daniel Berger (42085960),445.3,79.01,48900,-1.57
