Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
3474,Ryan Gerard,Nicolai Hojgaard,Alex Smalley,Vince Whaley,Seonghyeon Kim,Zecheng Dou,48400,425.8,2.3,8.64
10006,Shane Lowry,Ryan Gerard,John Keefer,Kris Ventura,Seonghyeon Kim,Keita Nakajima,48300,419.1,9.5,7.19
4639,Shane Lowry,Michael Thorbjornsen,Davis Thompson,Jordan L. Smith,John Parry,Matti Schmid,49700,424.4,2.2,8.5
4833,Ryan Gerard,Rasmus Hojgaard,Jordan L. Smith,Rico Hoey,Kevin Yu,Steven Fisk,48800,424.2,9.2,7.17
240,Shane Lowry,Ryan Gerard,Davis Thompson,Rico Hoey,Emiliano Grillo,Jesper Svensson,50000,434.3,-0.2,9.53
5362,Ryan Gerard,Keith Mitchell,Rasmus Neergaard-Petersen,Doug Ghim,Kevin Yu,Kris Ventura,50000,423.6,3.5,7.99
4904,Ryan Gerard,Nicolai Hojgaard,Mac Meissner,Ricky Castillo,Tom Kim,John VanDerLaan,48400,424.1,15.6,7.13
5738,Ryan Gerard,Daniel Berger,Christiaan Bezuidenhout,Rico Hoey,Michael Brennan,Adrien Saddier,48800,423.2,7.4,7.84
4769,Shane Lowry,Ryan Gerard,Max McGreevy,Emiliano Grillo,Beau Hossler,Adrien Dumont De Chassart,48700,424.3,4.3,8.09
1333,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Kris Ventura,Steven Fisk,Takumi Kanaya,50000,429.6,11.3,7.35
2293,Ryan Gerard,Rasmus Neergaard-Petersen,Max McGreevy,Rico Hoey,John Parry,Chad Ramey,49000,427.6,4.2,8.4
1537,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Kevin Yu,Jesper Svensson,Matti Schmid,49600,429.1,2.2,8.86
1056,Shane Lowry,Ryan Gerard,Davis Thompson,Tom Kim,Kevin Yu,Beau Hossler,49800,430.3,-0.0,9.34
3817,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Matt Wallace,Doug Ghim,William Mouw,49700,425.4,10.5,7.32
7625,Shane Lowry,Keith Mitchell,Thorbjorn Olesen,Kristoffer Reitan,Doug Ghim,Vince Whaley,49900,421.3,7.4,7.2
6231,Shane Lowry,Nicolai Hojgaard,Davis Thompson,Doug Ghim,Kris Ventura,Beau Hossler,49400,422.7,4.3,7.93
6615,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Doug Ghim,Kevin Roy,Steven Fisk,49600,422.3,6.3,7.7
3286,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Matt Wallace,Kevin Roy,Dylan Wu,49900,426.0,5.3,8.02
7774,Shane Lowry,Nicolai Hojgaard,Jordan L. Smith,Mackenzie Hughes,Nicolas Echavarria,Chan Kim,48800,421.2,7.6,7.6
6915,Rasmus Hojgaard,Nicolai Hojgaard,Keith Mitchell,Alex Smalley,Gary Woodland,Adam Svensson,50000,422.0,6.0,7.78
4898,Ryan Gerard,Daniel Berger,Alex Smalley,Max McGreevy,Garrick Higgo,Mark Hubbard,48800,424.1,3.3,8.53
1449,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Max McGreevy,Billy Horschel,Adrien Saddier,49700,429.3,2.2,9.52
1710,Ryan Gerard,Keith Mitchell,Will Zalatoris,Mac Meissner,Kristoffer Reitan,Chad Ramey,50000,428.7,2.0,9.05
2218,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Garrick Higgo,Chad Ramey,Adrien Dumont De Chassart,49700,427.8,10.5,7.13
4426,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Matt Wallace,Eric Cole,Isaiah Salinda,49900,424.6,2.0,8.64
7212,Shane Lowry,Michael Thorbjornsen,Davis Thompson,Rico Hoey,Dylan Wu,Adrien Saddier,48800,421.7,15.4,6.34
5637,Ryan Gerard,Nicolai Hojgaard,Christiaan Bezuidenhout,John Parry,Kevin Yu,Chan Kim,49400,423.3,7.3,7.78
5805,Shane Lowry,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Tom Kim,Michael Brennan,Chan Kim,49900,423.1,6.3,7.88
3809,Ryan Gerard,Rasmus Hojgaard,Davis Thompson,Mackenzie Hughes,Michael Brennan,Mark Hubbard,48900,425.4,5.7,7.9
5001,Ryan Gerard,Michael Thorbjornsen,Rasmus Neergaard-Petersen,Rico Hoey,Seonghyeon Kim,Chan Kim,49400,424.0,8.5,7.5
6208,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Vince Whaley,Gary Woodland,Webb Simpson,49200,422.7,17.0,6.26
1451,Shane Lowry,Ryan Gerard,Rico Hoey,Mackenzie Hughes,Vince Whaley,Zecheng Dou,48700,429.3,4.9,8.17
7411,Ryan Gerard,Michael Thorbjornsen,Jordan L. Smith,Kristoffer Reitan,Sami Valimaki,Adrien Saddier,48700,421.5,8.1,7.61
3686,Ryan Gerard,Michael Thorbjornsen,Thorbjorn Olesen,Ricky Castillo,Mackenzie Hughes,Kris Ventura,49600,425.5,4.4,8.0
2034,Shane Lowry,Nicolai Hojgaard,Michael Thorbjornsen,Garrick Higgo,Kevin Yu,Taylor Moore,50000,428.1,2.0,8.85
6679,Rasmus Hojgaard,Nicolai Hojgaard,Keith Mitchell,Stephan Jaeger,Kris Ventura,Dylan Wu,49700,422.2,5.1,7.81
4197,Ryan Gerard,Daniel Berger,Thorbjorn Olesen,Rico Hoey,Ricky Castillo,Vince Whaley,49300,424.9,6.8,7.6
2732,Ryan Gerard,Nicolai Hojgaard,Max McGreevy,Matt Wallace,Vince Whaley,Chad Ramey,48700,426.9,12.0,7.13
2935,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Michael Brennan,Kris Ventura,Chan Kim,48900,426.6,9.4,7.56
1904,Shane Lowry,Ryan Gerard,Keith Mitchell,Garrick Higgo,Seonghyeon Kim,Isaiah Salinda,49800,428.3,2.9,8.52
1453,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Matt Wallace,Emiliano Grillo,Chandler Blanchet,50000,429.3,8.6,7.75
1395,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Mac Meissner,Kris Ventura,Christo Lamprecht,50000,429.4,5.8,8.39
4359,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Nicolas Echavarria,Seonghyeon Kim,Adrien Saddier,49600,424.7,6.8,8.01
6807,Shane Lowry,Nicolai Hojgaard,Alex Smalley,Kristoffer Reitan,Eric Cole,Adrien Saddier,49300,422.1,7.5,7.74
1975,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Doug Ghim,Michael Brennan,Chandler Phillips,49900,428.2,3.0,8.87
4919,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Seonghyeon Kim,Dylan Wu,Webb Simpson,49600,424.1,14.4,6.67
97,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Garrick Higgo,Michael Brennan,Dylan Wu,49700,436.1,1.2,9.6
6120,Shane Lowry,Rasmus Hojgaard,Alex Smalley,Max McGreevy,Joel Dahmen,Webb Simpson,49600,422.8,7.0,7.93
2692,Shane Lowry,Nicolai Hojgaard,Will Zalatoris,Jordan L. Smith,Rico Hoey,Keita Nakajima,49800,426.9,5.7,8.39
8244,Michael Thorbjornsen,Rasmus Neergaard-Petersen,Alex Smalley,Rico Hoey,Ricky Castillo,Vince Whaley,48800,420.7,7.7,7.15
6623,Shane Lowry,Ryan Gerard,Davis Thompson,Kristoffer Reitan,Steven Fisk,John VanDerLaan,49200,422.3,27.0,5.31
1203,Shane Lowry,Michael Thorbjornsen,Max McGreevy,Jordan L. Smith,Matt Wallace,Garrick Higgo,49800,429.9,0.6,9.25
4621,Shane Lowry,Ryan Gerard,Keith Mitchell,Jesper Svensson,Gary Woodland,William Mouw,49400,424.4,10.4,7.19
880,Shane Lowry,Ryan Gerard,Jordan L. Smith,Matt Wallace,Michael Brennan,Jesper Svensson,49000,430.9,1.0,9.05
7018,Ryan Gerard,Rasmus Hojgaard,Kristoffer Reitan,Mackenzie Hughes,John Parry,Takumi Kanaya,48800,421.9,4.6,7.79
2078,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Max McGreevy,Vince Whaley,Adrien Dumont De Chassart,49500,428.0,5.3,8.11
9460,Ryan Gerard,Rasmus Hojgaard,Davis Thompson,Jordan L. Smith,Vince Whaley,Chandler Phillips,49400,419.6,14.2,6.24
7510,Rasmus Hojgaard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Rico Hoey,Adrien Dumont De Chassart,Adrien Saddier,49100,421.4,13.0,6.64
1594,Shane Lowry,Ryan Gerard,Mac Meissner,Stephan Jaeger,Matt Wallace,Vince Whaley,49600,429.0,6.0,8.03
10904,Ryan Gerard,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Michael Brennan,Dylan Wu,Adam Svensson,48800,418.3,12.0,6.49
1737,Rasmus Hojgaard,Nicolai Hojgaard,Michael Thorbjornsen,Nicolas Echavarria,Garrick Higgo,Vince Whaley,49900,428.6,0.9,9.3
