Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
5452,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Max Homa,Kris Ventura,Adrien Saddier,50000,423.5,8.3,7.73
3679,Shane Lowry,Ryan Gerard,John Parry,Nicolas Echavarria,Kris Ventura,Vince Whaley,48800,425.6,4.0,8.24
8526,Rasmus Hojgaard,Nicolai Hojgaard,Keith Mitchell,Jordan L. Smith,Doug Ghim,William Mouw,49900,420.6,8.3,7.39
1391,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Rico Hoey,Eric Cole,Steven Fisk,49500,429.4,3.2,8.78
332,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Rico Hoey,Garrick Higgo,Keita Nakajima,50000,433.4,8.1,8.19
4878,Ryan Gerard,Rasmus Hojgaard,Keith Mitchell,Michael Brennan,Adrien Dumont De Chassart,Chandler Blanchet,48900,424.2,6.4,7.72
1136,Ryan Gerard,Nicolai Hojgaard,Max McGreevy,Jordan L. Smith,Doug Ghim,Chad Ramey,49400,430.1,1.9,9.2
4967,Rasmus Hojgaard,Nicolai Hojgaard,Daniel Berger,Mac Meissner,Ricky Castillo,Adrien Saddier,50000,424.0,7.2,8.0
2269,Shane Lowry,Ryan Gerard,Keith Mitchell,Garrick Higgo,Billy Horschel,Matti Schmid,50000,427.8,0.8,9.06
1652,Ryan Gerard,Alex Smalley,Jordan L. Smith,Kristoffer Reitan,Rico Hoey,Garrick Higgo,48400,428.9,1.8,8.6
8911,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Hao-Tong Li,Beau Hossler,Keita Nakajima,49900,420.2,7.1,7.85
9763,Rasmus Hojgaard,Nicolai Hojgaard,Keith Mitchell,Sami Valimaki,Emiliano Grillo,Adrien Saddier,49700,419.4,9.0,7.35
6725,Ryan Gerard,Rasmus Neergaard-Petersen,Aaron Rai,Ricky Castillo,Matt Wallace,Garrick Higgo,49800,422.2,5.6,7.55
4430,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Matt Wallace,Kevin Yu,Carson Young,49600,424.7,3.1,8.39
4855,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Emiliano Grillo,Austin Eckroat,Chad Ramey,49900,424.2,3.4,8.48
5165,Ryan Gerard,Michael Thorbjornsen,Davis Thompson,Jordan L. Smith,John Parry,Webb Simpson,49500,423.8,8.9,7.54
5259,Nicolai Hojgaard,Michael Thorbjornsen,Christiaan Bezuidenhout,Max McGreevy,Jordan L. Smith,William Mouw,49800,423.7,3.9,8.66
891,Shane Lowry,Ryan Gerard,Chris Kirk,Jordan L. Smith,Ricky Castillo,Vince Whaley,49900,430.8,3.8,8.57
8542,Ryan Gerard,Rasmus Neergaard-Petersen,Davis Thompson,Seamus Power,Garrick Higgo,Dylan Wu,49100,420.6,6.7,7.26
6807,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Max McGreevy,Mackenzie Hughes,Garrick Higgo,Vince Whaley,48600,422.1,6.3,7.58
3617,Shane Lowry,Ryan Gerard,Thorbjorn Olesen,Kristoffer Reitan,Nicolas Echavarria,William Mouw,49700,425.7,8.2,7.68
7383,Ryan Gerard,Rasmus Neergaard-Petersen,Thorbjorn Olesen,Mac Meissner,Vince Whaley,Joel Dahmen,49400,421.6,6.1,7.46
3420,Shane Lowry,Thorbjorn Olesen,Max McGreevy,Kristoffer Reitan,Rico Hoey,Vince Whaley,49000,425.9,5.4,7.89
1166,Ryan Gerard,Nicolai Hojgaard,Alex Smalley,Rico Hoey,Vince Whaley,Takumi Kanaya,49000,430.0,7.2,7.94
7873,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Michael Brennan,Beau Hossler,Christo Lamprecht,48900,421.2,8.2,7.41
2824,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Nicolas Echavarria,Joel Dahmen,Adam Svensson,50000,426.8,1.5,9.02
3370,Ryan Gerard,Nicolai Hojgaard,Davis Thompson,Kristoffer Reitan,Seonghyeon Kim,Isaiah Salinda,49000,426.0,1.3,8.75
4216,Ryan Gerard,Nicolai Hojgaard,Thorbjorn Olesen,Sami Valimaki,Vince Whaley,Dylan Wu,49100,424.9,7.4,7.66
7915,Rasmus Hojgaard,Michael Thorbjornsen,Thorbjorn Olesen,Alex Smalley,John Keefer,Adrien Saddier,50000,421.1,7.1,7.83
759,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Mac Meissner,Adrien Dumont De Chassart,Dylan Wu,50000,431.3,1.3,9.25
1802,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Kristoffer Reitan,Gary Woodland,Mark Hubbard,49700,428.6,5.2,8.3
9307,Nicolai Hojgaard,Keith Mitchell,Alex Smalley,Mac Meissner,Kevin Yu,Keita Nakajima,49000,419.8,8.6,7.31
601,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,Michael Brennan,Vince Whaley,Zecheng Dou,49900,432.0,2.4,8.89
1472,Ryan Gerard,Keith Mitchell,Mac Meissner,John Keefer,Garrick Higgo,Vince Whaley,49200,429.2,1.8,9.03
6756,Shane Lowry,Michael Thorbjornsen,Christiaan Bezuidenhout,Jordan L. Smith,Matt Wallace,Dylan Wu,49800,422.2,6.1,7.59
4815,Ryan Gerard,Rasmus Hojgaard,Daniel Berger,Chris Kirk,Vince Whaley,Dylan Wu,49900,424.2,5.0,8.13
1195,Ryan Gerard,Nicolai Hojgaard,Keith Mitchell,Ricky Castillo,Kevin Roy,Dylan Wu,49800,429.9,2.6,8.78
6240,Ryan Gerard,Rasmus Hojgaard,Hao-Tong Li,Mac Meissner,Jordan L. Smith,Keita Nakajima,49800,422.7,4.3,8.46
1230,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Kristoffer Reitan,Joel Dahmen,Adrien Saddier,49700,429.8,5.7,8.66
1892,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Doug Ghim,Gary Woodland,Dylan Wu,49500,428.4,1.7,9.01
1173,Shane Lowry,Ryan Gerard,Thorbjorn Olesen,Mackenzie Hughes,Matt Wallace,Jesper Svensson,50000,430.0,3.5,8.38
