Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
2266,Shane Lowry,Nicolai Hojgaard,Kristoffer Reitan,Rico Hoey,Matt Wallace,Daniel Brown,49200,426.1,4.1,8.11
4981,Shane Lowry,Ryan Gerard,Matt Wallace,Garrick Higgo,Jesper Svensson,Steven Fisk,48200,421.8,13.4,6.36
2925,Shane Lowry,Max McGreevy,Chris Kirk,Rico Hoey,Matt Wallace,Garrick Higgo,48300,424.9,1.7,8.58
4589,Ryan Gerard,Rasmus Hojgaard,Michael Thorbjornsen,Seonghyeon Kim,Gary Woodland,Takumi Kanaya,49300,422.3,3.6,8.11
1073,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Doug Ghim,Jesper Svensson,Matti Schmid,49900,429.1,0.7,9.2
463,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Rico Hoey,Zecheng Dou,William Mouw,49800,431.6,5.6,8.61
4732,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Austin Eckroat,Gary Woodland,Chandler Blanchet,49400,422.1,3.1,8.41
5337,Shane Lowry,Rasmus Hojgaard,Michael Thorbjornsen,Seonghyeon Kim,Zecheng Dou,Chad Ramey,49400,421.3,4.3,8.01
2833,Shane Lowry,Rasmus Hojgaard,Rasmus Neergaard-Petersen,Michael Brennan,Kris Ventura,Vince Whaley,50000,425.0,7.0,7.52
2217,Shane Lowry,Nicolai Hojgaard,Max McGreevy,Rico Hoey,Kevin Yu,John VanDerLaan,48800,426.2,16.2,7.1
4993,Shane Lowry,Nicolai Hojgaard,Chris Kirk,Mackenzie Hughes,Michael Brennan,Chandler Blanchet,48300,421.7,3.4,8.27
4482,Ryan Gerard,Rasmus Hojgaard,John Keefer,Matt Wallace,Doug Ghim,Kris Ventura,49000,422.5,2.1,8.41
4995,Shane Lowry,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Nicolas Echavarria,Kris Ventura,Isaiah Salinda,49600,421.7,2.8,8.23
2593,Ryan Gerard,Keith Mitchell,Rasmus Neergaard-Petersen,Nicolas Echavarria,Kevin Yu,Gary Woodland,49800,425.5,0.0,8.89
4316,Shane Lowry,Davis Thompson,Thorbjorn Olesen,Mac Meissner,Max Homa,Vince Whaley,50000,422.7,3.4,8.13
717,Ryan Gerard,Rasmus Hojgaard,Nicolai Hojgaard,Ricky Castillo,Vince Whaley,Matti Schmid,49900,430.3,8.3,7.79
7922,Shane Lowry,Rasmus Hojgaard,Michael Thorbjornsen,Emiliano Grillo,Steven Fisk,Dylan Wu,49500,417.9,13.3,6.34
1389,Shane Lowry,Nicolai Hojgaard,Alex Smalley,Jordan L. Smith,Garrick Higgo,Steven Fisk,49600,428.2,7.0,7.91
3405,Ryan Gerard,Rasmus Hojgaard,Rico Hoey,Mackenzie Hughes,Matt Wallace,Austin Eckroat,48900,424.1,0.8,8.65
6624,Shane Lowry,Keith Mitchell,Max McGreevy,Mac Meissner,Chad Ramey,Mark Hubbard,48700,419.6,10.9,6.91
6723,Ryan Gerard,Keith Mitchell,Michael Thorbjornsen,Emiliano Grillo,Seonghyeon Kim,Adrien Saddier,49100,419.4,11.3,6.88
590,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,Vince Whaley,Gary Woodland,Taylor Moore,50000,430.9,6.7,8.12
4966,Shane Lowry,Michael Thorbjornsen,Rasmus Neergaard-Petersen,Max McGreevy,Vince Whaley,Christo Lamprecht,49900,421.8,10.5,7.13
4513,Shane Lowry,Nicolai Hojgaard,Mac Meissner,Ricky Castillo,Garrick Higgo,William Mouw,48600,422.4,11.5,6.93
2489,Shane Lowry,Ryan Gerard,Nicolai Hojgaard,David Ford,Chad Ramey,Takumi Kanaya,49900,425.7,3.6,8.75
628,Ryan Gerard,Nicolai Hojgaard,Mac Meissner,Jordan L. Smith,Kristoffer Reitan,Takumi Kanaya,49500,430.7,1.0,9.23
3119,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Michael Brennan,Matti Schmid,Adrien Saddier,49200,424.6,12.4,7.05
4140,Shane Lowry,Nicolai Hojgaard,Keith Mitchell,Kevin Roy,Seonghyeon Kim,Steven Fisk,49600,423.0,4.9,8.03
2685,Shane Lowry,Nicolai Hojgaard,Ricky Castillo,Mackenzie Hughes,John Parry,Vince Whaley,48900,425.3,5.5,7.9
1185,Ryan Gerard,Nicolai Hojgaard,Thorbjorn Olesen,Chris Kirk,Garrick Higgo,Dylan Wu,49600,428.7,3.5,8.55
2735,Shane Lowry,Ryan Gerard,Keith Mitchell,Rico Hoey,Adrien Saddier,Davis Riley,49800,425.2,7.7,7.73
7690,Shane Lowry,Michael Thorbjornsen,Alex Smalley,Jordan L. Smith,Kris Ventura,Mark Hubbard,48800,418.2,8.6,7.02
2728,Rasmus Hojgaard,Keith Mitchell,Davis Thompson,Rico Hoey,Seamus Power,Garrick Higgo,49900,425.2,0.1,8.77
4792,Rasmus Hojgaard,Nicolai Hojgaard,Michael Thorbjornsen,Michael Brennan,Jesper Svensson,Webb Simpson,49000,422.0,7.3,7.87
2892,Ryan Gerard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Max McGreevy,Beau Hossler,Carson Young,49900,425.0,1.6,8.77
5614,Shane Lowry,Rasmus Hojgaard,Nicolai Hojgaard,Gary Woodland,Takumi Kanaya,Matti Schmid,49400,420.9,9.1,7.08
2394,Shane Lowry,Ryan Gerard,Aaron Rai,Mackenzie Hughes,Michael Brennan,Mark Hubbard,49500,425.9,2.8,8.64
7268,Shane Lowry,Nicolai Hojgaard,Michael Thorbjornsen,Lee Hodges,Gary Woodland,Adrien Saddier,49300,418.7,7.6,7.62
249,Shane Lowry,Ryan Gerard,Jordan L. Smith,Kristoffer Reitan,Tom Kim,Matt Wallace,49900,433.3,-1.0,9.73
4762,Ryan Gerard,Nicolai Hojgaard,Alex Smalley,Mackenzie Hughes,Eric Cole,Chan Kim,49000,422.1,6.3,7.87
2288,Rasmus Hojgaard,Nicolai Hojgaard,Michael Thorbjornsen,John Parry,Nicolas Echavarria,Steven Fisk,49900,426.1,0.0,9.48
8109,Shane Lowry,Keith Mitchell,Will Zalatoris,Kristoffer Reitan,Tom Kim,John VanDerLaan,49100,417.6,14.9,6.85
4569,Shane Lowry,Rasmus Hojgaard,Michael Thorbjornsen,Nicolas Echavarria,Garrick Higgo,Adam Svensson,49800,422.3,4.4,8.14
1705,Ryan Gerard,Nicolai Hojgaard,Michael Thorbjornsen,Nicolas Echavarria,Dylan Wu,Adrien Saddier,49200,427.4,9.2,7.95
4509,Shane Lowry,Alex Smalley,Kristoffer Reitan,Rico Hoey,John Parry,Vince Whaley,48100,422.4,5.6,7.59
3909,Ryan Gerard,Keith Mitchell,Davis Thompson,Doug Ghim,Garrick Higgo,Chad Ramey,49200,423.4,8.9,7.15
434,Shane Lowry,Nicolai Hojgaard,Alex Smalley,Mac Meissner,Rico Hoey,Webb Simpson,49900,431.7,6.5,8.56
6479,Shane Lowry,Rasmus Hojgaard,Alex Smalley,Jordan L. Smith,Matt Wallace,Chandler Blanchet,49300,419.7,10.1,6.78
595,Ryan Gerard,Rasmus Hojgaard,Alex Smalley,Kristoffer Reitan,Ricky Castillo,Jesper Svensson,49700,430.8,-0.7,9.37
4671,Shane Lowry,Ryan Gerard,Christiaan Bezuidenhout,Chris Kirk,Steven Fisk,Adrien Saddier,49800,422.2,15.4,6.54
3205,Nicolai Hojgaard,Keith Mitchell,Max McGreevy,Tom Kim,Garrick Higgo,Dylan Wu,48400,424.4,0.6,9.02
1143,Shane Lowry,Ryan Gerard,Michael Thorbjornsen,Ricky Castillo,Vince Whaley,Austin Smotherman,49900,428.8,3.5,8.55
4065,Ryan Gerard,Nicolai Hojgaard,Hao-Tong Li,Stephan Jaeger,Garrick Higgo,Steven Fisk,48900,423.1,3.8,8.46
5398,Rasmus Hojgaard,Nicolai Hojgaard,Rasmus Neergaard-Petersen,Garrick Higgo,Kris Ventura,Gary Woodland,49500,421.2,5.8,7.48
4532,Nicolai Hojgaard,Keith Mitchell,Max McGreevy,John Keefer,John Parry,Webb Simpson,48900,422.4,3.5,8.86
2126,Rasmus Hojgaard,Nicolai Hojgaard,Will Zalatoris,Max McGreevy,Kristoffer Reitan,Adrien Saddier,49900,426.4,3.9,8.94
3123,Ryan Gerard,Keith Mitchell,Thorbjorn Olesen,Alex Smalley,Emiliano Grillo,Zecheng Dou,49900,424.6,1.4,8.49
5501,Shane Lowry,Ryan Gerard,Rasmus Hojgaard,Taylor Moore,Adrien Dumont De Chassart,Keita Nakajima,49500,421.1,14.3,6.4
4555,Ryan Gerard,Nicolai Hojgaard,Daniel Berger,Mackenzie Hughes,Kris Ventura,William Mouw,49200,422.4,9.2,7.46
2881,Shane Lowry,Ryan Gerard,Keith Mitchell,Kris Ventura,Emiliano Grillo,Adam Hadwin,50000,425.0,0.9,8.69
7375,Nicolai Hojgaard,Michael Thorbjornsen,Max McGreevy,Jordan L. Smith,Chad Ramey,Takumi Kanaya,48400,418.6,8.3,7.32
3117,Shane Lowry,Rasmus Hojgaard,Keith Mitchell,Kevin Yu,Seonghyeon Kim,Adrien Dumont De Chassart,49800,424.6,1.3,8.53
1485,Shane Lowry,Ryan Gerard,Rasmus Neergaard-Petersen,John Parry,Chad Ramey,Adrien Dumont De Chassart,49900,428.0,7.2,7.77
3439,Ryan Gerard,Nicolai Hojgaard,Christiaan Bezuidenhout,Will Zalatoris,Steven Fisk,Matti Schmid,49800,424.1,6.5,8.01
1910,Nicolai Hojgaard,Michael Thorbjornsen,Christiaan Bezuidenhout,Max McGreevy,Rico Hoey,Webb Simpson,49800,426.9,4.8,8.79
4798,Shane Lowry,Keith Mitchell,Rasmus Neergaard-Petersen,John Keefer,Vince Whaley,Matti Schmid,49900,422.0,7.4,7.46
