Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
8198,Xander Schauffele,Rory McIlroy,Will Zalatoris,Matthew Wolff,George McNeill,Brendon Todd,49700,385.6,1.1,5.16
2429,Bryson DeChambeau,Daniel Berger,Matthew Fitzpatrick,Will Zalatoris,Anirban Lahiri,Abraham Ancer,49800,398.8,4.5,6.51
3273,Bryson DeChambeau,Daniel Berger,Patrick Reed,Will Zalatoris,Bernd Wiesberger,John Merrick,49200,396.1,3.8,5.9
7610,Rory McIlroy,Tony Finau,Daniel Berger,Ryan Palmer,Abraham Ancer,Sebastian Saavedra,49500,386.7,1.4,7.46
9573,Dustin Johnson,Bryson DeChambeau,Matthew Wolff,Harris English,David Lingmerth,Brendon Todd,49900,383.2,0.5,5.75
9585,Xander Schauffele,Patrick Reed,Webb Simpson,Ryan Palmer,Lee Westwood,Kevin Na,50000,383.1,0.4,9.53
8088,Tony Finau,Daniel Berger,Patrick Reed,Collin Morikawa,Mackenzie Hughes,Chan Kim,50000,385.8,1.1,7.17
3182,Jon Rahm,Justin Thomas,Will Zalatoris,Ryan Palmer,Christiaan Bezuidenhout,Sami Valimaki,50000,396.4,3.9,7.12
5415,Xander Schauffele,Patrick Reed,Will Zalatoris,Louis Oosthuizen,Kramer Hickok,Sebastian Munoz,49900,391.0,2.5,5.07
7208,Ian Poulter,Viktor Hovland,Daniel Berger,Harris English,Billy Horschel,Mackenzie Hughes,50000,387.5,1.6,6.44
5857,Xander Schauffele,Tyrrell Hatton,Webb Simpson,Bubba Watson,Abraham Ancer,Mackenzie Hughes,50000,390.2,2.3,11.03
203,Jon Rahm,Bryson DeChambeau,Will Zalatoris,Ryan Palmer,Mackenzie Hughes,Brendon Todd,49000,412.4,8.1,14.44
2651,Bryson DeChambeau,Tyrrell Hatton,Joaquin Niemann,Will Zalatoris,Bubba Watson,Abraham Ancer,49700,398.0,4.3,15.05
1411,Jon Rahm,Scottie Scheffler,Adam Scott,Will Zalatoris,Harris English,Abraham Ancer,49900,402.7,5.6,16.53
8696,Dustin Johnson,Max Homa,Will Zalatoris,Harris English,Ryan Palmer,Roberto Castro,49900,384.8,0.9,6.73
6607,Justin Thomas,Max Homa,Hideki Matsuyama,Will Zalatoris,Matthew Wolff,Mackenzie Hughes,49500,388.6,1.9,8.59
10590,Justin Thomas,Bryson DeChambeau,Louis Oosthuizen,Harris English,Christiaan Bezuidenhout,Lee Westwood,49800,381.3,-0.0,8.18
1924,Daniel Berger,Patrick Reed,Max Homa,Joaquin Niemann,Will Zalatoris,Abraham Ancer,50000,400.6,5.0,14.71
7326,Xander Schauffele,Justin Thomas,Matthew Fitzpatrick,Matthew Wolff,Mackenzie Hughes,JC Ritchie,49900,387.2,1.5,4.43
7845,Bryson DeChambeau,Daniel Berger,Will Zalatoris,Matthew Wolff,Kevin Kisner,Roberto Castro,48800,386.2,1.2,5.66
3724,Justin Thomas,Rory McIlroy,Will Zalatoris,Bubba Watson,Ryan Palmer,Sebastian Munoz,49900,394.9,3.5,11.04
7601,Jon Rahm,Daniel Berger,Patrick Reed,Louis Oosthuizen,Brendon Todd,Sebastian Saavedra,49900,386.7,1.4,5.28
1823,Dustin Johnson,Xander Schauffele,Will Zalatoris,Sebastian Munoz,Mackenzie Hughes,Brendon Todd,49700,401.0,5.1,11.45
