Lineup #,G,G,G,G,G,G,Salary,Proj Pts,Proj ROI %,Geomean Own %
3379,Collin Morikawa,Tyrrell Hatton,Lee Westwood,Hideki Matsuyama,Billy Horschel,Victor Perez,49800,540.9,5.7,5.4
1620,Dustin Johnson,Scottie Scheffler,Matthew Fitzpatrick,Ian Poulter,Christiaan Bezuidenhout,Carlos Ortiz,48000,543.7,2.8,5.95
8832,Dustin Johnson,Collin Morikawa,Brooks Koepka,Robert Macintyre,Kevin Na,Stewart Cink,49400,535.9,20.7,3.74
2767,Dustin Johnson,Patrick Reed,Sungjae Im,Ian Poulter,Lanto Griffin,Stewart Cink,48700,541.7,10.5,5.06
3898,Dustin Johnson,Patrick Reed,Tony Finau,Harris English,Lanto Griffin,Fred Couples,49700,540.3,7.9,5.22
8251,Dustin Johnson,Xander Schauffele,Viktor Hovland,Max Homa,Mackenzie Hughes,Martin Laird,49900,536.4,28.6,3.96
2549,Jon Rahm,Tyrrell Hatton,Scottie Scheffler,Billy Horschel,Corey Conners,Mackenzie Hughes,48700,542.1,5.4,6.19
6543,Dustin Johnson,Justin Thomas,Tony Finau,Matt Jones,Mackenzie Hughes,Angel Cabrera,49800,537.7,39.7,3.11
2320,Dustin Johnson,Webb Simpson,Tyrrell Hatton,Ian Poulter,Gary Woodland,Sebastian Munoz,49600,542.4,10.2,4.87
2711,Dustin Johnson,Tony Finau,Lee Westwood,Shane Lowry,Si Woo Kim,Cameron Champ,49700,541.8,3.1,5.82
6153,Dustin Johnson,Brooks Koepka,Bubba Watson,Ian Poulter,Cameron Champ,Carlos Ortiz,48400,538.0,16.1,4.0
2140,Bryson DeChambeau,Tony Finau,Lee Westwood,Matthew Fitzpatrick,Matt Jones,Tyler Strafaci,49300,542.7,33.5,4.69
2480,Dustin Johnson,Webb Simpson,Tyrrell Hatton,Victor Perez,Brian Harman,Charl Schwartzel,49500,542.2,14.3,4.7
5786,Dustin Johnson,Rory McIlroy,Max Homa,Ian Poulter,Zach Johnson,Stewart Cink,48000,538.3,8.4,5.15
152,Dustin Johnson,Brooks Koepka,Scottie Scheffler,Adam Scott,Kevin Kisner,Zach Johnson,49700,549.7,-2.3,6.98
3317,Jon Rahm,Brooks Koepka,Tony Finau,Shane Lowry,Sebastian Munoz,Lanto Griffin,49300,541.0,5.4,5.42
3436,Tyrrell Hatton,Lee Westwood,Daniel Berger,Scottie Scheffler,Max Homa,Victor Perez,48700,540.9,3.8,5.82
6044,Dustin Johnson,Bryson DeChambeau,Justin Rose,Ian Poulter,Si Woo Kim,Tyler Strafaci,49200,538.1,44.7,3.35
8476,Justin Thomas,Viktor Hovland,Scottie Scheffler,Harris English,Jason Kokrak,Tyler Strafaci,48100,536.2,33.9,4.57
7369,Dustin Johnson,Jon Rahm,Billy Horschel,Christiaan Bezuidenhout,Danny Willett,Robert Macintyre,49500,537.1,14.2,4.55
284,Dustin Johnson,Patrick Reed,Brooks Koepka,Shane Lowry,Si Woo Kim,Zach Johnson,50000,548.4,-1.2,6.68
3291,Dustin Johnson,Bryson DeChambeau,Lee Westwood,Matt Wallace,Mackenzie Hughes,Tyler Strafaci,50000,541.0,47.0,3.36
667,Dustin Johnson,Collin Morikawa,Tony Finau,Brian Harman,Zach Johnson,Robert Streb,49300,546.4,8.4,6.01
643,Dustin Johnson,Tyrrell Hatton,Matthew Fitzpatrick,Louis Oosthuizen,Victor Perez,Kevin Kisner,49700,546.4,4.0,6.08
598,Collin Morikawa,Tony Finau,Tyrrell Hatton,Sungjae Im,Victor Perez,Ian Poulter,50000,546.6,8.7,5.28
2194,Rory McIlroy,Collin Morikawa,Patrick Reed,Victor Perez,Jason Kokrak,Ian Poulter,49800,542.6,0.4,6.44
4126,Webb Simpson,Tyrrell Hatton,Lee Westwood,Harris English,Max Homa,Shane Lowry,48100,540.1,7.4,5.14
1369,Dustin Johnson,Jon Rahm,Harris English,Matt Kuchar,Christiaan Bezuidenhout,Lanto Griffin,49700,544.2,0.2,6.34
4026,Dustin Johnson,Collin Morikawa,Lee Westwood,Christiaan Bezuidenhout,Carlos Ortiz,Robert Streb,49100,540.2,19.8,4.18
3299,Jon Rahm,Rory McIlroy,Lee Westwood,Gary Woodland,Lanto Griffin,Matt Jones,49500,541.0,2.3,5.9
1857,Dustin Johnson,Xander Schauffele,Brooks Koepka,Robert Macintyre,Matt Wallace,Matt Jones,49900,543.2,7.7,5.31
1058,Xander Schauffele,Brooks Koepka,Tony Finau,Tyrrell Hatton,Lanto Griffin,Matt Wallace,50000,545.0,5.8,5.51
2256,Dustin Johnson,Tyrrell Hatton,Tommy Fleetwood,Sergio Garcia,Ian Poulter,Mackenzie Hughes,49400,542.5,14.6,4.67
3621,Jon Rahm,Bryson DeChambeau,Justin Rose,Victor Perez,Ian Poulter,Matt Jones,49100,540.6,8.0,5.25
269,Dustin Johnson,Brooks Koepka,Adam Scott,Harris English,Ian Poulter,Matt Jones,48700,548.5,5.9,5.61
9764,Collin Morikawa,Patrick Reed,Webb Simpson,Sungjae Im,Gary Woodland,Tyler Strafaci,49500,535.1,35.9,4.19
6941,Justin Thomas,Brooks Koepka,Tyrrell Hatton,Louis Oosthuizen,Lanto Griffin,Bernd Wiesberger,49000,537.4,13.7,4.77
1103,Dustin Johnson,Justin Thomas,Lee Westwood,Zach Johnson,Brendon Todd,Tyler Strafaci,49600,544.9,38.9,4.11
1916,Justin Thomas,Tyrrell Hatton,Daniel Berger,Scottie Scheffler,Zach Johnson,Mackenzie Hughes,49000,543.1,5.6,6.23
5629,Dustin Johnson,Tony Finau,Cameron Smith,Jason Kokrak,Carlos Ortiz,Martin Laird,48500,538.5,16.2,5.47
650,Dustin Johnson,Brooks Koepka,Matthew Fitzpatrick,Jason Kokrak,Carlos Ortiz,Robert Macintyre,48700,546.4,6.8,5.69
1200,Bryson DeChambeau,Tony Finau,Tyrrell Hatton,Max Homa,Ian Poulter,Christiaan Bezuidenhout,49400,544.6,4.0,5.92
8324,Dustin Johnson,Patrick Reed,Scottie Scheffler,Jason Kokrak,Zach Johnson,Jim Herman,48400,536.3,20.6,4.82
2182,Dustin Johnson,Patrick Reed,Abraham Ancer,Harris English,Max Homa,Robert Macintyre,49100,542.6,1.8,6.39
7732,Dustin Johnson,Tyrrell Hatton,Lee Westwood,Si Woo Kim,Sebastian Munoz,Danny Willett,49100,536.8,13.2,4.43
6005,Bryson DeChambeau,Collin Morikawa,Patrick Reed,Harris English,Robert Macintyre,Brendon Todd,49700,538.2,8.4,5.28
10841,Jon Rahm,Patrick Reed,Bubba Watson,Francesco Molinari,Ian Poulter,Tyler Strafaci,48100,534.4,47.7,3.01
1532,Dustin Johnson,Tyrrell Hatton,Scottie Scheffler,Hideki Matsuyama,Carlos Ortiz,Michael Thompson,49700,543.9,15.4,4.42
3066,Justin Thomas,Brooks Koepka,Tyrrell Hatton,Billy Horschel,Francesco Molinari,Si Woo Kim,49600,541.3,4.4,5.83
5314,Dustin Johnson,Brooks Koepka,Victor Perez,Shane Lowry,Jason Kokrak,Bernd Wiesberger,48000,538.8,18.0,4.03
5295,Dustin Johnson,Collin Morikawa,Tony Finau,Shane Lowry,Cheng-Tsung Pan,Bernd Wiesberger,50000,538.8,13.5,4.56
5188,Dustin Johnson,Bryson DeChambeau,Justin Rose,Victor Perez,Jason Kokrak,Robert Streb,49400,538.9,18.9,4.49
3008,Dustin Johnson,Tyrrell Hatton,Viktor Hovland,Harris English,Danny Willett,Lanto Griffin,49400,541.4,17.2,4.18
1672,Dustin Johnson,Rory McIlroy,Daniel Berger,Jason Kokrak,Ian Poulter,Michael Thompson,50000,543.6,3.4,6.37
1358,Dustin Johnson,Bryson DeChambeau,Louis Oosthuizen,Carlos Ortiz,Matt Jones,Mackenzie Hughes,48900,544.3,5.8,6.0
5891,Rory McIlroy,Tony Finau,Tyrrell Hatton,Adam Scott,Jason Kokrak,Martin Laird,49000,538.3,20.5,4.82
6141,Bryson DeChambeau,Tony Finau,Webb Simpson,Brian Harman,Matt Jones,Martin Laird,48300,538.1,14.5,5.66
1780,Dustin Johnson,Collin Morikawa,Webb Simpson,Will Zalatoris,Carlos Ortiz,Michael Thompson,50000,543.4,1.4,6.68
5056,Dustin Johnson,Scottie Scheffler,Louis Oosthuizen,Francesco Molinari,Victor Perez,Shane Lowry,48400,539.1,6.4,5.33
