DKSalaries
Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scottie Scheffler (42046021),Scottie Scheffler,42046021,G,14300,The Genesis Invitational,Golf,133.33
G,Rory McIlroy (42046022),Rory McIlroy,42046022,G,11300,The Genesis Invitational,Golf,88.5
G,Tommy Fleetwood (42046023),Tommy Fleetwood,42046023,G,10300,The Genesis Invitational,Golf,82.17
G,Xander Schauffele (42046024),Xander Schauffele,42046024,G,9800,The Genesis Invitational,Golf,67.83
G,Russell Henley (42046025),Russell Henley,42046025,G,9600,The Genesis Invitational,Golf,100.67
G,Hideki Matsuyama (42046026),Hideki Matsuyama,42046026,G,9500,The Genesis Invitational,Golf,96.12
G,Collin Morikawa (42046027),Collin Morikawa,42046027,G,9400,The Genesis Invitational,Golf,75.67
G,Patrick Cantlay (42046028),Patrick Cantlay,42046028,G,9300,The Genesis Invitational,Golf,83.33
G,Si Woo Kim (42046029),Si Woo Kim,42046029,G,9200,The Genesis Invitational,Golf,103.58
G,Cameron Young (42046030),Cameron Young,42046030,G,9100,The Genesis Invitational,Golf,76.83
G,Viktor Hovland (42046031),Viktor Hovland,42046031,G,9000,The Genesis Invitational,Golf,77.5
G,Sam Burns (42046032),Sam Burns,42046032,G,8900,The Genesis Invitational,Golf,80.5
G,Chris Gotterup (42046033),Chris Gotterup,42046033,G,8800,The Genesis Invitational,Golf,105.5
G,Ben Griffin (42046034),Ben Griffin,42046034,G,8700,The Genesis Invitational,Golf,85.62
G,Jake Knapp (42046035),Jake Knapp,42046035,G,8600,The Genesis Invitational,Golf,100.38
G,Rickie Fowler (42046036),Rickie Fowler,42046036,G,8500,The Genesis Invitational,Golf,97.67
G,Matt Fitzpatrick (42046037),Matt Fitzpatrick,42046037,G,8400,The Genesis Invitational,Golf,96
G,Ludvig Aberg (42046038),Ludvig Aberg,42046038,G,8300,The Genesis Invitational,Golf,56
G,Robert MacIntyre (42046039),Robert MacIntyre,42046039,G,8200,The Genesis Invitational,Golf,96.17
G,Maverick McNealy (42046040),Maverick McNealy,42046040,G,8100,The Genesis Invitational,Golf,89.25
G,Justin Rose (42046041),Justin Rose,42046041,G,8000,The Genesis Invitational,Golf,98.17
G,Harris English (42046042),Harris English,42046042,G,7900,The Genesis Invitational,Golf,88.38
G,Adam Scott (42046043),Adam Scott,42046043,G,7900,The Genesis Invitational,Golf,86.7
G,Sepp Straka (42046044),Sepp Straka,42046044,G,7800,The Genesis Invitational,Golf,92.67
G,Shane Lowry (42046045),Shane Lowry,42046045,G,7800,The Genesis Invitational,Golf,89.5
G,Jason Day (42046046),Jason Day,42046046,G,7700,The Genesis Invitational,Golf,96.5
G,Keegan Bradley (42046047),Keegan Bradley,42046047,G,7700,The Genesis Invitational,Golf,69.83
G,Min Woo Lee (42046048),Min Woo Lee,42046048,G,7600,The Genesis Invitational,Golf,97
G,Jordan Spieth (42046049),Jordan Spieth,42046049,G,7600,The Genesis Invitational,Golf,68
G,Akshay Bhatia (42046050),Akshay Bhatia,42046050,G,7500,The Genesis Invitational,Golf,80.5
G,J.J. Spaun (42046051),J.J. Spaun,42046051,G,7500,The Genesis Invitational,Golf,66
G,Nick Taylor (42046052),Nick Taylor,42046052,G,7400,The Genesis Invitational,Golf,83.3
G,Harry Hall (42046053),Harry Hall,42046053,G,7400,The Genesis Invitational,Golf,77.62
G,Pierceson Coody (42046054),Pierceson Coody,42046054,G,7300,The Genesis Invitational,Golf,95.6
G,Kurt Kitayama (42046055),Kurt Kitayama,42046055,G,7300,The Genesis Invitational,Golf,70.88
G,Ryan Gerard (42046056),Ryan Gerard,42046056,G,7200,The Genesis Invitational,Golf,107
G,Taylor Pendrith (42046057),Taylor Pendrith,42046057,G,7200,The Genesis Invitational,Golf,71
G,Max Homa (42046058),Max Homa,42046058,G,7100,The Genesis Invitational,Golf,59.83
G,J.T. Poston (42046059),J.T. Poston,42046059,G,7100,The Genesis Invitational,Golf,86.33
G,Alex Noren (42046060),Alex Noren,42046060,G,7000,The Genesis Invitational,Golf,57.33
G,Wyndham Clark (42046061),Wyndham Clark,42046061,G,7000,The Genesis Invitational,Golf,80.75
G,Corey Conners (42046062),Corey Conners,42046062,G,7000,The Genesis Invitational,Golf,54.83
G,Sahith Theegala (42046063),Sahith Theegala,42046063,G,6900,The Genesis Invitational,Golf,89.3
G,Patrick Rodgers (42046064),Patrick Rodgers,42046064,G,6900,The Genesis Invitational,Golf,88.4
G,Daniel Berger (42046065),Daniel Berger,42046065,G,6900,The Genesis Invitational,Golf,79.38
G,Jacob Bridgeman (42046066),Jacob Bridgeman,42046066,G,6800,The Genesis Invitational,Golf,100.25
G,Ryo Hisatsune (42046067),Ryo Hisatsune,42046067,G,6800,The Genesis Invitational,Golf,83.58
G,Tony Finau (42046068),Tony Finau,42046068,G,6800,The Genesis Invitational,Golf,60.4
G,Sam Stevens (42046069),Sam Stevens,42046069,G,6700,The Genesis Invitational,Golf,83.2
G,Max Greyserman (42046070),Max Greyserman,42046070,G,6700,The Genesis Invitational,Golf,58.25
G,Denny McCarthy (42046071),Denny McCarthy,42046071,G,6700,The Genesis Invitational,Golf,74.62
G,Rico Hoey (42046072),Rico Hoey,42046072,G,6600,The Genesis Invitational,Golf,56.6
G,Matthew McCarty (42046073),Matthew McCarty,42046073,G,6600,The Genesis Invitational,Golf,74.83
G,Brian Harman (42046074),Brian Harman,42046074,G,6600,The Genesis Invitational,Golf,61.62
G,Max McGreevy (42046075),Max McGreevy,42046075,G,6500,The Genesis Invitational,Golf,74.6
G,Ryan Fox (42046076),Ryan Fox,42046076,G,6500,The Genesis Invitational,Golf,73.58
G,Aaron Rai (42046077),Aaron Rai,42046077,G,6500,The Genesis Invitational,Golf,60.25
G,Kevin Yu (42046078),Kevin Yu,42046078,G,6400,The Genesis Invitational,Golf,53.5
G,Michael Kim (42046079),Michael Kim,42046079,G,6400,The Genesis Invitational,Golf,72.62
G,Garrick Higgo (42046080),Garrick Higgo,42046080,G,6400,The Genesis Invitational,Golf,47.12
G,Tom Hoge (42046081),Tom Hoge,42046081,G,6300,The Genesis Invitational,Golf,76.4
G,Nicolas Echavarria (42046082),Nicolas Echavarria,42046082,G,6300,The Genesis Invitational,Golf,53.38
G,Andrew Novak (42046083),Andrew Novak,42046083,G,6300,The Genesis Invitational,Golf,68.88
G,Bud Cauley (42046084),Bud Cauley,42046084,G,6200,The Genesis Invitational,Golf,72.38
G,Sami Valimaki (42046085),Sami Valimaki,42046085,G,6200,The Genesis Invitational,Golf,60.12
G,Marco Penge (42046086),Marco Penge,42046086,G,6200,The Genesis Invitational,Golf,51.1
G,Tom Kim (42046087),Tom Kim,42046087,G,6100,The Genesis Invitational,Golf,68.5
G,Lucas Glover (42046088),Lucas Glover,42046088,G,6100,The Genesis Invitational,Golf,76.5
G,Matti Schmid (42046089),Matti Schmid,42046089,G,6100,The Genesis Invitational,Golf,49
G,Aldrich Potgieter (42046090),Aldrich Potgieter,42046090,G,6000,The Genesis Invitational,Golf,56.17
G,Jhonattan Vegas (42046091),Jhonattan Vegas,42046091,G,6000,The Genesis Invitational,Golf,36
G,Brian Campbell (42046092),Brian Campbell,42046092,G,6000,The Genesis Invitational,Golf,45.88
