DKSalaries
Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scottie Scheffler (42046021),Scottie Scheffler,42046021,G,12400,Masters Tournament 2025,Golf,0
G,Rory McIlroy (42046022),Rory McIlroy,42046022,G,11100,Masters Tournament 2025,Golf,0
G,Ludvig Aberg (42046038),Ludvig Aberg,42046038,G,10800,Masters Tournament 2025,Golf,0
G,Collin Morikawa (42046027),Collin Morikawa,42046027,G,10500,Masters Tournament 2025,Golf,0
G,Jon Rahm (42046100),Jon Rahm,42046100,G,10400,Masters Tournament 2025,Golf,0
G,Xander Schauffele (42046024),Xander Schauffele,42046024,G,9900,Masters Tournament 2025,Golf,0
G,Bryson DeChambeau (42046101),Bryson DeChambeau,42046101,G,9900,Masters Tournament 2025,Golf,0
G,Justin Thomas (42046102),Justin Thomas,42046102,G,9600,Masters Tournament 2025,Golf,0
G,Brooks Koepka (42046103),Brooks Koepka,42046103,G,9400,Masters Tournament 2025,Golf,0
G,Joaquin Niemann (42046104),Joaquin Niemann,42046104,G,9300,Masters Tournament 2025,Golf,0
G,Hideki Matsuyama (42046026),Hideki Matsuyama,42046026,G,9200,Masters Tournament 2025,Golf,0
G,Viktor Hovland (42046031),Viktor Hovland,42046031,G,9200,Masters Tournament 2025,Golf,0
G,Tommy Fleetwood (42046023),Tommy Fleetwood,42046023,G,9100,Masters Tournament 2025,Golf,0
G,Jordan Spieth (42046049),Jordan Spieth,42046049,G,9000,Masters Tournament 2025,Golf,0
G,Shane Lowry (42046045),Shane Lowry,42046045,G,8800,Masters Tournament 2025,Golf,0
G,Patrick Cantlay (42046028),Patrick Cantlay,42046028,G,8700,Masters Tournament 2025,Golf,0
G,Tyrrell Hatton (42046105),Tyrrell Hatton,42046105,G,8600,Masters Tournament 2025,Golf,0
G,Min Woo Lee (42046048),Min Woo Lee,42046048,G,8500,Masters Tournament 2025,Golf,0
G,Cameron Smith (42046106),Cameron Smith,42046106,G,8200,Masters Tournament 2025,Golf,0
G,Russell Henley (42046025),Russell Henley,42046025,G,8400,Masters Tournament 2025,Golf,0
G,Will Zalatoris (42046107),Will Zalatoris,42046107,G,8300,Masters Tournament 2025,Golf,0
G,Cameron Young (42046030),Cameron Young,42046030,G,8200,Masters Tournament 2025,Golf,0
G,Akshay Bhatia (42046050),Akshay Bhatia,42046050,G,8100,Masters Tournament 2025,Golf,0
G,Robert MacIntyre (42046039),Robert MacIntyre,42046039,G,8000,Masters Tournament 2025,Golf,0
G,Corey Conners (42046062),Corey Conners,42046062,G,7900,Masters Tournament 2025,Golf,0
G,Sepp Straka (42046044),Sepp Straka,42046044,G,7600,Masters Tournament 2025,Golf,0
G,Jason Day (42046046),Jason Day,42046046,G,7600,Masters Tournament 2025,Golf,0
G,Sahith Theegala (42046063),Sahith Theegala,42046063,G,7500,Masters Tournament 2025,Golf,0
G,Sungjae Im (42046108),Sungjae Im,42046108,G,7500,Masters Tournament 2025,Golf,0
G,Sam Burns (42046032),Sam Burns,42046032,G,7500,Masters Tournament 2025,Golf,0
G,Patrick Reed (42046109),Patrick Reed,42046109,G,7300,Masters Tournament 2025,Golf,0
G,Adam Scott (42046043),Adam Scott,42046043,G,7200,Masters Tournament 2025,Golf,0
G,Sergio Garcia (42046110),Sergio Garcia,42046110,G,7100,Masters Tournament 2025,Golf,0
G,Keegan Bradley (42046047),Keegan Bradley,42046047,G,7000,Masters Tournament 2025,Golf,0
G,Davis Thompson (42046111),Davis Thompson,42046111,G,7000,Masters Tournament 2025,Golf,0
G,Tom Kim (42046087),Tom Kim,42046087,G,7000,Masters Tournament 2025,Golf,0
G,Nicolai Hojgaard (42046112),Nicolai Hojgaard,42046112,G,6900,Masters Tournament 2025,Golf,0
G,Thomas Detry (42046113),Thomas Detry,42046113,G,6900,Masters Tournament 2025,Golf,0
G,Byeong Hun An (42046114),Byeong Hun An,42046114,G,6800,Masters Tournament 2025,Golf,0
G,Aaron Rai (42046077),Aaron Rai,42046077,G,6800,Masters Tournament 2025,Golf,0
G,J.J. Spaun (42046051),J.J. Spaun,42046051,G,6800,Masters Tournament 2025,Golf,0
G,Tiger Woods (42046115),Tiger Woods,42046115,G,6800,Masters Tournament 2025,Golf,0
G,Michael Kim (42046079),Michael Kim,42046079,G,6700,Masters Tournament 2025,Golf,0
G,Cameron Davis (42046116),Cameron Davis,42046116,G,6700,Masters Tournament 2025,Golf,0
G,Lucas Glover (42046088),Lucas Glover,42046088,G,6600,Masters Tournament 2025,Golf,0
G,Brian Harman (42046074),Brian Harman,42046074,G,6600,Masters Tournament 2025,Golf,0
G,J.T. Poston (42046059),J.T. Poston,42046059,G,6500,Masters Tournament 2025,Golf,0
G,Harris English (42046042),Harris English,42046042,G,6500,Masters Tournament 2025,Golf,0
G,Tom Hoge (42046081),Tom Hoge,42046081,G,6400,Masters Tournament 2025,Golf,0
G,Matthieu Pavon (42046117),Matthieu Pavon,42046117,G,6400,Masters Tournament 2025,Golf,0
G,Taylor Moore (42046118),Taylor Moore,42046118,G,6400,Masters Tournament 2025,Golf,0
G,Stephan Jaeger (42046119),Stephan Jaeger,42046119,G,6300,Masters Tournament 2025,Golf,0
G,Nick Dunlap (42046120),Nick Dunlap,42046120,G,6200,Masters Tournament 2025,Golf,0
G,Angel Cabrera (42046121),Angel Cabrera,42046121,G,6000,Masters Tournament 2025,Golf,0
