lineup_num,players,salary,projection,mean_payout,roi_pct
1,Ryan Gerard | Keith Mitchell | John Parry | Mackenzie Hughes | Matt Wallace | Sudarshan Yellamaraju,49400,246.5,20.66,313.1
2,Daniel Berger | Michael Brennan | Jordan L. Smith | Kristoffer Reitan | Joel Dahmen | Kevin Roy,48500,241.8,18.23,264.6
3,Ryan Gerard | Rasmus Hojgaard | Thorbjorn Olesen | Mackenzie Hughes | Zecheng Dou | Sudarshan Yellamaraju,49400,245.3,19.99,299.9
4,Shane Lowry | Aaron Rai | Jordan L. Smith | Kristoffer Reitan | Tom Kim | Emiliano Grillo,50000,242.9,18.06,261.2
5,Ryan Gerard | Alex Smalley | Max Homa | Matt Wallace | Ricky Castillo | Beau Hossler,49200,243.5,17.89,257.8
6,Keith Mitchell | Rasmus Hojgaard | Rasmus Neergaard-Petersen | Matt Wallace | Zecheng Dou | Daniel Brown,49300,242.8,17.48,249.6
7,Nicolai Hojgaard | Michael Brennan | Aaron Rai | Jordan L. Smith | Nicolas Echavarria | William Mouw,49700,243.1,17.21,244.2
8,Rasmus Hojgaard | Max McGreevy | Davis Thompson | Mackenzie Hughes | Ricky Castillo | Chan Kim,49800,241.8,17.02,240.3
9,Shane Lowry | Michael Brennan | Kristoffer Reitan | Nicolas Echavarria | Garrick Higgo | Seamus Power,49900,243.0,16.71,234.1
10,Ryan Gerard | Max McGreevy | John Parry | Ricky Castillo | Austin Eckroat | Zecheng Dou,49700,244.2,17.34,246.9
11,Rasmus Hojgaard | Davis Thompson | John Parry | Mackenzie Hughes | Max Homa | Matt Wallace,48700,244.1,18.06,261.2
12,Nicolai Hojgaard | Daniel Berger | Joel Dahmen | Tom Kim | Billy Horschel | Chandler Phillips,49400,240.0,15.79,215.8
13,Shane Lowry | Nicolai Hojgaard | Jordan L. Smith | Kevin Roy | Takumi Kanaya | Mark Hubbard,49600,242.2,16.54,230.7
14,Keith Mitchell | Davis Thompson | Max Homa | Christiaan Bezuidenhout | Adrien Saddier | Beau Hossler,50000,241.3,15.81,216.2
15,Ryan Gerard | Rasmus Hojgaard | Max Homa | Austin Eckroat | Zecheng Dou | Chan Kim,49300,243.2,17.61,252.3
16,Daniel Berger | Michael Brennan | Aaron Rai | Garrick Higgo | Kevin Roy | Adrien Dumont De Chassart,48000,240.5,16.31,226.2
17,Ryan Gerard | Keith Mitchell | John Parry | Adrien Saddier | Sudarshan Yellamaraju | Eric Cole,50000,243.2,18.10,262.1
18,Ryan Gerard | Alex Smalley | Thorbjorn Olesen | Mackenzie Hughes | Ricky Castillo | Austin Eckroat,49600,245.0,17.90,258.0
19,Shane Lowry | Nicolai Hojgaard | Garrick Higgo | Tom Kim | Emiliano Grillo | Adrien Dumont De Chassart,49000,242.7,16.40,227.9
20,Ryan Gerard | Rasmus Hojgaard | Thorbjorn Olesen | Zecheng Dou | Beau Hossler | Daniel Brown,49600,243.2,17.86,257.2
21,Rasmus Hojgaard | Max McGreevy | Mackenzie Hughes | Christiaan Bezuidenhout | Adrien Saddier | Eric Cole,49500,240.5,16.61,232.1
22,Ryan Gerard | Max McGreevy | Rasmus Neergaard-Petersen | Mackenzie Hughes | Matt Wallace | Daniel Brown,49600,244.6,16.89,237.9
23,Nicolai Hojgaard | Kristoffer Reitan | Garrick Higgo | Joel Dahmen | Tom Kim | Matti Schmid,48300,240.4,16.05,220.9
24,Keith Mitchell | Max McGreevy | Alex Smalley | John Parry | Zecheng Dou | Sudarshan Yellamaraju,49500,242.4,16.96,239.1
25,Shane Lowry | Daniel Berger | Michael Brennan | Nicolas Echavarria | Chandler Phillips | Takumi Kanaya,49700,241.8,15.15,203.1
26,Davis Thompson | Alex Smalley | Thorbjorn Olesen | Max Homa | Matt Wallace | Austin Eckroat,48000,241.7,15.61,212.2
27,Keith Mitchell | Rasmus Hojgaard | Alex Smalley | Mackenzie Hughes | Austin Eckroat | Lee Hodges,49700,243.9,16.14,222.8
28,Shane Lowry | Michael Brennan | Joel Dahmen | Hao-Tong Li | Matti Schmid | Dylan Wu,49300,239.5,14.49,189.7
29,Ryan Gerard | Max McGreevy | Christiaan Bezuidenhout | Matt Wallace | Zecheng Dou | Lee Hodges,49600,243.2,16.41,228.3
30,Nicolai Hojgaard | Daniel Berger | Michael Brennan | Jordan L. Smith | Tom Kim | Takumi Kanaya,49300,242.8,16.90,238.0
31,Shane Lowry | Jordan L. Smith | Nicolas Echavarria | Kevin Roy | Seamus Power | Adrien Dumont De Chassart,48100,240.4,15.00,199.9
32,Davis Thompson | Rasmus Neergaard-Petersen | Thorbjorn Olesen | Mackenzie Hughes | Max Homa | Ricky Castillo,49200,242.2,16.60,232.0
33,Ryan Gerard | Keith Mitchell | Max Homa | Sudarshan Yellamaraju | Steven Fisk | Jackson Suber,49600,241.7,15.05,200.9
34,Shane Lowry | Aaron Rai | Nicolas Echavarria | Joel Dahmen | Emiliano Grillo | David Ford,49700,240.3,14.60,192.0
35,Ryan Gerard | Rasmus Neergaard-Petersen | Thorbjorn Olesen | Austin Eckroat | Zecheng Dou | Adrien Saddier,49200,242.9,16.50,230.0
36,Keith Mitchell | Davis Thompson | Mackenzie Hughes | Christiaan Bezuidenhout | Daniel Brown | Eric Cole,49000,240.5,15.68,213.6
37,Nicolai Hojgaard | Daniel Berger | Garrick Higgo | Kevin Roy | Hao-Tong Li | A.J. Ewart,49700,239.8,14.22,184.5
38,Keith Mitchell | Rasmus Hojgaard | Rasmus Neergaard-Petersen | Adrien Saddier | Sudarshan Yellamaraju | Beau Hossler,50000,241.5,15.78,215.5
39,Nicolai Hojgaard | Aaron Rai | Jordan L. Smith | Garrick Higgo | Joel Dahmen | Austin Smotherman,49600,241.9,15.31,206.1
40,Ryan Gerard | Rasmus Hojgaard | Max Homa | Sudarshan Yellamaraju | Lee Hodges | Daniel Brown,48800,243.0,15.93,218.6
41,Shane Lowry | Michael Brennan | Kristoffer Reitan | Emiliano Grillo | William Mouw | Matti Schmid,48000,240.3,15.40,207.9
42,Nicolai Hojgaard | Michael Brennan | Hao-Tong Li | Billy Horschel | Austin Smotherman | David Ford,49000,238.6,13.62,172.4
43,Alex Smalley | Thorbjorn Olesen | John Parry | Matt Wallace | Brooks Koepka | Adrien Saddier,48200,239.3,14.18,183.6
44,Rasmus Hojgaard | Max McGreevy | Thorbjorn Olesen | John Parry | Mackenzie Hughes | Austin Eckroat,49700,243.8,17.46,249.1
45,Shane Lowry | Daniel Berger | Tom Kim | Takumi Kanaya | Chad Ramey | Zachary Bauchou,48300,237.4,13.81,176.2
46,Ryan Gerard | Rasmus Hojgaard | Christiaan Bezuidenhout | Matt Wallace | Adrien Saddier | Matthieu Pavon,49700,242.6,15.55,210.9
47,Shane Lowry | Kristoffer Reitan | Nicolas Echavarria | Garrick Higgo | Kevin Roy | Billy Horschel,49400,241.8,15.86,217.2
48,Max McGreevy | Davis Thompson | Alex Smalley | John Parry | Lee Hodges | Daniel Brown,48700,240.1,14.42,188.3
49,Keith Mitchell | Alex Smalley | Thorbjorn Olesen | Max Homa | Zecheng Dou | Beau Hossler,49100,241.5,16.13,222.6
50,Nicolai Hojgaard | Aaron Rai | Nicolas Echavarria | Emiliano Grillo | Austin Smotherman | Dylan Wu,48600,238.6,13.81,176.2
51,Keith Mitchell | Rasmus Neergaard-Petersen | Thorbjorn Olesen | John Parry | Matt Wallace | Steven Fisk,49600,241.9,14.86,197.3
52,Davis Thompson | Alex Smalley | Mackenzie Hughes | Christiaan Bezuidenhout | Austin Eckroat | Brooks Koepka,49600,240.4,14.81,196.3
53,Shane Lowry | Daniel Berger | Michael Brennan | Jordan L. Smith | Mark Hubbard | Zachary Bauchou,49100,240.6,14.56,191.1
54,Nicolai Hojgaard | Daniel Berger | Kristoffer Reitan | Tom Kim | Adrien Dumont De Chassart | Taylor Moore,49600,239.9,14.14,182.9
55,Shane Lowry | Daniel Berger | Kevin Roy | Austin Smotherman | Adrien Dumont De Chassart | Takumi Kanaya,48600,239.4,14.44,188.8
56,Ryan Gerard | Keith Mitchell | Mackenzie Hughes | Max Homa | Daniel Brown | Matthieu Pavon,48700,243.3,16.18,223.6
57,Nicolai Hojgaard | Aaron Rai | Kevin Roy | Tom Kim | Billy Horschel | William Mouw,48800,239.8,14.34,186.8
58,Ryan Gerard | Davis Thompson | Christiaan Bezuidenhout | Ricky Castillo | Zecheng Dou | Adrien Saddier,50000,243.2,15.96,219.1
59,Keith Mitchell | Max McGreevy | Rasmus Neergaard-Petersen | Mackenzie Hughes | Austin Eckroat | Steven Fisk,49600,242.0,14.90,198.1
60,Rasmus Hojgaard | Alex Smalley | Max Homa | Ricky Castillo | Beau Hossler | Daniel Brown,48100,239.9,16.42,228.3
61,Shane Lowry | Nicolai Hojgaard | Jordan L. Smith | Tom Kim | Emiliano Grillo | Chandler Phillips,49500,243.1,17.43,248.5
62,Michael Brennan | Jordan L. Smith | Kristoffer Reitan | Nicolas Echavarria | Hao-Tong Li | Billy Horschel,48000,239.7,15.54,210.8
63,Ryan Gerard | Alex Smalley | Rasmus Neergaard-Petersen | Mackenzie Hughes | Matt Wallace | Lee Hodges,49500,244.4,16.64,232.9
64,Shane Lowry | Nicolai Hojgaard | Michael Brennan | Joel Dahmen | Dylan Wu | Hank Lebioda,49900,241.2,15.10,202.0
65,Alex Smalley | John Parry | Mackenzie Hughes | Christiaan Bezuidenhout | Ricky Castillo | Eric Cole,48000,239.2,14.78,195.6
66,Rasmus Hojgaard | Davis Thompson | Alex Smalley | Zecheng Dou | Lee Hodges | Steven Fisk,48400,239.7,14.23,184.5
67,Shane Lowry | Garrick Higgo | Joel Dahmen | Tom Kim | Hao-Tong Li | Chandler Phillips,48500,240.1,14.61,192.2
68,Shane Lowry | Michael Brennan | Aaron Rai | William Mouw | Chad Ramey | Dylan Wu,48700,239.5,13.89,177.9
69,Ryan Gerard | Max McGreevy | Mackenzie Hughes | Matt Wallace | Brooks Koepka | Steven Fisk,49900,242.8,15.32,206.5
70,Nicolai Hojgaard | Michael Brennan | Joel Dahmen | Kevin Roy | Matti Schmid | Chad Ramey,48400,239.4,13.98,179.5
71,Max McGreevy | Davis Thompson | Thorbjorn Olesen | Max Homa | Ricky Castillo | Sudarshan Yellamaraju,49000,241.2,15.13,202.7
72,Ryan Gerard | Rasmus Neergaard-Petersen | John Parry | Austin Eckroat | Beau Hossler | Daniel Brown,49000,241.9,15.07,201.3
73,Nicolai Hojgaard | Jordan L. Smith | Nicolas Echavarria | Tom Kim | Matti Schmid | Taylor Moore,48300,238.8,14.48,189.6
74,Shane Lowry | Nicolai Hojgaard | Jordan L. Smith | Kristoffer Reitan | William Mouw | Adrien Dumont De Chassart,50000,243.8,15.70,214.0
75,Keith Mitchell | Davis Thompson | Ricky Castillo | Adrien Saddier | Lee Hodges | Chan Kim,48000,238.7,13.50,170.0
76,Ryan Gerard | Keith Mitchell | Rasmus Neergaard-Petersen | Matt Wallace | Sudarshan Yellamaraju | Daniel Brown,50000,244.7,18.91,278.1
77,Nicolai Hojgaard | Aaron Rai | Nicolas Echavarria | Garrick Higgo | Chandler Phillips | Takumi Kanaya,48200,239.8,14.21,184.2
78,Shane Lowry | Nicolai Hojgaard | Michael Brennan | Garrick Higgo | Emiliano Grillo | Mark Hubbard,49900,243.5,16.10,221.9
79,Keith Mitchell | Rasmus Hojgaard | John Parry | Matt Wallace | Lee Hodges | Beau Hossler,49300,242.4,16.11,222.2
80,Rasmus Hojgaard | Davis Thompson | Thorbjorn Olesen | Matt Wallace | Ricky Castillo | Steven Fisk,48900,241.4,15.04,200.8
81,Daniel Berger | Kristoffer Reitan | Hao-Tong Li | Emiliano Grillo | Austin Smotherman | Chad Ramey,48300,236.4,12.30,146.0
82,Ryan Gerard | Alex Smalley | Thorbjorn Olesen | John Parry | Daniel Brown | Eric Cole,49900,242.3,15.49,209.8
83,Shane Lowry | Daniel Berger | Joel Dahmen | William Mouw | Chandler Phillips | David Ford,48500,239.0,13.57,171.3
84,Rasmus Hojgaard | Max McGreevy | Ricky Castillo | Austin Eckroat | Zecheng Dou | Lee Hodges,48000,240.4,16.39,227.8
