G,G,G,G,G,G
42130703,42130705,42130721,42130756,42130759,42130770
42130707,42130724,42130738,42130720,42130728,42130737
42130703,42130706,42130718,42130756,42130762,42130770
42130702,42130709,42130738,42130720,42130748,42130766
42130703,42130716,42130725,42130759,42130727,42130743
42130705,42130706,42130711,42130759,42130762,42130772
42130704,42130724,42130709,42130738,42130722,42130773
42130706,42130710,42130713,42130756,42130727,42130753
42130702,42130724,42130720,42130722,42130750,42130726
42130703,42130710,42130721,42130727,42130749,42130762
42130706,42130713,42130721,42130756,42130725,42130759
42130704,42130707,42130728,42130748,42130730,42130774
42130702,42130704,42130738,42130737,42130775,42130771
42130705,42130713,42130725,42130714,42130755,42130743
42130703,42130706,42130725,42130749,42130762,42130753
42130707,42130724,42130709,42130750,42130737,42130784
42130703,42130705,42130721,42130755,42130770,42130734
42130703,42130716,42130718,42130756,42130727,42130749
42130702,42130704,42130750,42130748,42130766,42130784
42130703,42130706,42130718,42130762,42130743,42130772
42130706,42130710,42130756,42130714,42130755,42130734
42130703,42130710,42130711,42130756,42130759,42130772
42130704,42130720,42130750,42130728,42130748,42130739
42130705,42130710,42130716,42130721,42130762,42130770
42130702,42130707,42130724,42130722,42130774,42130775
42130713,42130716,42130718,42130725,42130759,42130749
42130705,42130706,42130716,42130756,42130749,42130751
42130702,42130724,42130728,42130715,42130739,42130777
42130703,42130710,42130714,42130759,42130762,42130751
42130704,42130707,42130724,42130738,42130748,42130775
42130702,42130738,42130722,42130737,42130726,42130784
42130713,42130711,42130718,42130756,42130725,42130727
42130703,42130705,42130725,42130770,42130754,42130741
42130702,42130709,42130722,42130728,42130766,42130765
42130703,42130711,42130718,42130749,42130762,42130755
42130705,42130713,42130756,42130714,42130772,42130734
42130704,42130707,42130750,42130737,42130715,42130794
42130705,42130706,42130711,42130755,42130770,42130743
42130704,42130709,42130738,42130750,42130728,42130740
42130703,42130706,42130725,42130770,42130751,42130772
42130702,42130724,42130720,42130766,42130773,42130739
42130704,42130724,42130715,42130730,42130740,42130765
42130716,42130718,42130721,42130759,42130712,42130755
42130706,42130710,42130718,42130721,42130756,42130749
42130702,42130707,42130748,42130775,42130742,42130783
42130703,42130706,42130714,42130759,42130755,42130779
42130702,42130720,42130722,42130750,42130737,42130730
42130710,42130713,42130716,42130721,42130751,42130772
42130705,42130716,42130718,42130725,42130762,42130743
42130704,42130709,42130722,42130766,42130740,42130777
42130705,42130711,42130718,42130721,42130759,42130754
42130713,42130716,42130756,42130714,42130749,42130712
42130702,42130707,42130724,42130738,42130771,42130783
42130704,42130707,42130720,42130748,42130784,42130731
42130702,42130707,42130737,42130740,42130784,42130775
42130703,42130705,42130756,42130725,42130772,42130779
42130704,42130709,42130737,42130748,42130730,42130773
42130703,42130713,42130714,42130727,42130762,42130755
42130705,42130710,42130711,42130756,42130749,42130754
42130706,42130716,42130725,42130727,42130743,42130772
42130702,42130704,42130738,42130748,42130766,42130774
42130724,42130738,42130720,42130722,42130715,42130730
42130703,42130716,42130711,42130756,42130759,42130751
42130702,42130704,42130724,42130728,42130777,42130788
42130716,42130721,42130756,42130714,42130727,42130734
42130706,42130713,42130716,42130762,42130751,42130754
42130702,42130750,42130728,42130748,42130715,42130774
42130702,42130724,42130709,42130773,42130742,42130777
42130703,42130710,42130756,42130759,42130712,42130754
42130704,42130724,42130728,42130737,42130739,42130742
42130710,42130713,42130718,42130725,42130727,42130770
42130703,42130711,42130721,42130749,42130743,42130772
42130704,42130738,42130722,42130748,42130739,42130731
42130702,42130704,42130738,42130720,42130773,42130784
42130705,42130713,42130727,42130755,42130751,42130753
42130703,42130705,42130711,42130759,42130770,42130772
42130704,42130709,42130722,42130750,42130774,42130775
42130702,42130704,42130724,42130750,42130766,42130771
42130705,42130706,42130721,42130759,42130751,42130743
42130706,42130713,42130718,42130759,42130727,42130754
42130707,42130720,42130715,42130766,42130740,42130742
42130703,42130716,42130718,42130721,42130772,42130734
42130702,42130707,42130728,42130773,42130774,42130765
42130706,42130710,42130727,42130749,42130762,42130751
42130704,42130707,42130724,42130766,42130726,42130773
42130706,42130710,42130716,42130721,42130756,42130753
42130710,42130718,42130725,42130714,42130751,42130772
42130704,42130738,42130722,42130750,42130715,42130783
42130702,42130724,42130715,42130730,42130739,42130775
42130713,42130711,42130721,42130756,42130727,42130741
42130703,42130713,42130756,42130755,42130743,42130753
42130707,42130724,42130709,42130738,42130737,42130726
42130705,42130710,42130718,42130756,42130727,42130755
42130706,42130710,42130716,42130759,42130754,42130741
42130705,42130713,42130711,42130725,42130762,42130754
42130702,42130704,42130738,42130748,42130742,42130794
42130703,42130713,42130718,42130721,42130759,42130779
42130702,42130709,42130750,42130728,42130784,42130783
42130706,42130711,42130721,42130756,42130725,42130772
42130704,42130720,42130722,42130737,42130765,42130731
42130703,42130711,42130756,42130762,42130770,42130734
42130702,42130707,42130724,42130748,42130794,42130788
42130703,42130710,42130718,42130756,42130770,42130751
42130713,42130721,42130714,42130759,42130712,42130754
42130702,42130709,42130720,42130730,42130775,42130777
42130703,42130710,42130714,42130727,42130772,42130779
42130704,42130722,42130730,42130726,42130742,42130771
42130705,42130710,42130725,42130749,42130770,42130743
42130702,42130720,42130750,42130728,42130715,42130794
42130703,42130705,42130725,42130755,42130772,42130753
42130706,42130716,42130711,42130718,42130749,42130779
42130704,42130707,42130737,42130740,42130773,42130774
42130702,42130738,42130720,42130748,42130765,42130731
42130702,42130707,42130709,42130766,42130775,42130783
42130705,42130706,42130718,42130725,42130727,42130807
42130703,42130713,42130756,42130727,42130749,42130751
42130703,42130711,42130712,42130755,42130772,42130741
42130702,42130724,42130720,42130722,42130773,42130775
42130705,42130706,42130713,42130759,42130743,42130779
42130704,42130707,42130728,42130775,42130742,42130777
42130703,42130713,42130716,42130762,42130755,42130734
42130706,42130718,42130756,42130725,42130714,42130759
42130706,42130710,42130721,42130762,42130712,42130755
42130702,42130707,42130709,42130784,42130771,42130794
42130703,42130711,42130725,42130727,42130749,42130762
42130702,42130704,42130750,42130748,42130730,42130788
42130724,42130709,42130720,42130728,42130715,42130765
42130706,42130710,42130711,42130759,42130770,42130751
42130703,42130716,42130718,42130749,42130755,42130770
42130702,42130738,42130715,42130726,42130773,42130777
42130704,42130738,42130720,42130728,42130774,42130731
42130705,42130706,42130756,42130712,42130770,42130779
42130716,42130711,42130721,42130714,42130762,42130753
42130702,42130704,42130722,42130737,42130777,42130791
42130703,42130711,42130759,42130749,42130743,42130753
42130704,42130707,42130715,42130730,42130784,42130765
42130705,42130716,42130756,42130725,42130751,42130734
42130707,42130709,42130722,42130750,42130715,42130771
42130704,42130709,42130720,42130740,42130784,42130776
42130705,42130710,42130759,42130762,42130712,42130753
42130702,42130728,42130715,42130730,42130771,42130783
42130702,42130724,42130722,42130726,42130739,42130774
42130704,42130707,42130722,42130766,42130773,42130784
42130703,42130710,42130721,42130749,42130770,42130772
42130702,42130707,42130730,42130766,42130726,42130791
42130707,42130724,42130720,42130715,42130740,42130777
42130706,42130711,42130714,42130755,42130751,42130734
42130703,42130706,42130710,42130759,42130779,42130807
42130702,42130707,42130724,42130738,42130750,42130775
42130703,42130705,42130756,42130714,42130759,42130772

EXPOSURE SUMMARY,,,,,
Player,Salary,Projection,Count,Exposure %,DK ID
Shane Lowry,"$10,800",43.3,37,24.7%,42130702
Ryan Gerard,"$10,500",44.3,36,24.0%,42130703
Nicolai Hojgaard,"$10,300",42.7,32,21.3%,42130704
Mackenzie Hughes,"$7,100",40.4,29,19.3%,42130756
Rasmus Hojgaard,"$9,700",42.1,29,19.3%,42130706
Keith Mitchell,"$9,900",42.5,26,17.3%,42130705
Matt Wallace,"$7,000",40.0,25,16.7%,42130759
Daniel Berger,"$9,600",41.0,25,16.7%,42130707
Michael Brennan,"$7,900",40.9,24,16.0%,42130724
Max McGreevy,"$9,200",40.9,24,16.0%,42130710
John Parry,"$8,100",40.4,21,14.0%,42130721
Thorbjorn Olesen,"$8,400",40.4,21,14.0%,42130718
Alex Smalley,"$8,600",40.5,21,14.0%,42130716
Max Homa,"$7,900",40.3,21,14.0%,42130725
Rasmus Neergaard-Petersen,"$9,100",40.4,21,14.0%,42130711
Davis Thompson,"$8,900",40.9,21,14.0%,42130713
Jordan L. Smith,"$7,500",40.4,19,12.7%,42130738
Kristoffer Reitan,"$8,200",40.3,19,12.7%,42130720
Zecheng Dou,"$6,900",39.2,19,12.7%,42130762
Ricky Castillo,"$7,800",39.8,18,12.0%,42130727
Daniel Brown,"$6,700",38.6,18,12.0%,42130772
Nicolas Echavarria,"$8,000",39.9,18,12.0%,42130722
Austin Eckroat,"$7,200",39.6,18,12.0%,42130749
Aaron Rai,"$9,300",40.6,17,11.3%,42130709
Adrien Saddier,"$7,100",39.0,17,11.3%,42130755
Sudarshan Yellamaraju,"$6,800",38.9,16,10.7%,42130770
Joel Dahmen,"$7,800",39.6,16,10.7%,42130728
Garrick Higgo,"$7,200",39.9,16,10.7%,42130750
Tom Kim,"$7,300",39.5,15,10.0%,42130748
Christiaan Bezuidenhout,"$8,800",40.0,15,10.0%,42130714
Lee Hodges,"$7,200",38.8,15,10.0%,42130751
Hao-Tong Li,"$8,700",39.4,15,10.0%,42130715
Kevin Roy,"$7,500",39.6,13,8.7%,42130737
Emiliano Grillo,"$6,900",38.8,12,8.0%,42130766
Beau Hossler,"$7,400",38.6,12,8.0%,42130743
Billy Horschel,"$7,700",38.8,12,8.0%,42130730
Takumi Kanaya,"$6,700",38.3,12,8.0%,42130775
William Mouw,"$6,700",38.6,11,7.3%,42130773
Adrien Dumont De Chassart,"$6,500",38.5,11,7.3%,42130784
Chan Kim,"$7,100",37.7,9,6.0%,42130753
Chandler Phillips,"$6,700",38.4,9,6.0%,42130774
Eric Cole,"$7,600",38.1,9,6.0%,42130734
Dylan Wu,"$6,600",37.9,9,6.0%,42130777
Steven Fisk,"$7,100",38.2,9,6.0%,42130754
Seamus Power,"$7,800",38.7,8,5.3%,42130726
Austin Smotherman,"$7,500",38.7,8,5.3%,42130740
Brooks Koepka,"$9,000",39.0,8,5.3%,42130712
Matthieu Pavon,"$6,600",37.2,8,5.3%,42130779
Mark Hubbard,"$6,800",37.9,7,4.7%,42130771
Matti Schmid,"$7,500",38.4,7,4.7%,42130739
David Ford,"$6,900",38.1,7,4.7%,42130765
Chad Ramey,"$7,400",38.2,7,4.7%,42130742
Zachary Bauchou,"$6,500",37.1,6,4.0%,42130783
A.J. Ewart,"$6,400",37.2,5,3.3%,42130794
Taylor Moore,"$7,700",37.9,5,3.3%,42130731
Jackson Suber,"$7,400",37.5,4,2.7%,42130741
Hank Lebioda,"$6,500",36.8,3,2.0%,42130788
Ben Silverman,"$6,200",36.1,2,1.3%,42130807
Patrick Fishburn,"$6,400",36.7,2,1.3%,42130791
Carson Young,"$6,700",37.0,1,0.7%,42130776
Adam Schenk,"$6,400",36.0,0,0.0%,42130792
Joe Highsmith,"$6,600",35.7,0,0.0%,42130782
Pontus Nyholm,"$6,400",35.4,0,0.0%,42130789
Patton Kizzire,"$6,500",35.2,0,0.0%,42130786
Danny Walker,"$6,100",34.6,0,0.0%,42130814
